Time,PPV_NOOYC,HOSE_DSXOXF,HOSE_DNXOXF,HOSE_DSXAXF,HOSE_DNXAXX,HOSE_IXXAXX,HOSE_IXAOXX,FIRE_FA2S1C1NCX1_1,FIRE_FA2S1C1NCX1_2,FIRE_FA2S1C1NCX1_3,Test_1_East_062514,Test_2_East_062514,Test_3_East_062514,Test_4_East_062514,Test_5_East_062614,Test_6_East_062614,Test_7_East_062714,Test_8_East_062714,Test_9_East_062714,Test_10_East_062714,Test_11_East_062714,Test_12_East_062914,Test_13_East_062914,Test_14_West_063014,Test_15_West_063014,Test_16_West_063014,Test_17_West_063014,Test_17b_West_063014,Test_18_West_063014,Test_19_West_063014,Test_20_West_063014,Test_21_East_070114,Test_22_West_070214,Test_23_West_070214,Test_24_West_070214,Test_25_West_070214,Test_26_East_070714,Test_27_West_070814,Test_28_East_070814,Test_29_West_071014
970,,,,,,,,,,,,,,,,,,,,,,,Hole in A side door,,,,,,,,,,,,,,,,,
990,,,,,,,Narrow fog rotated left at Room A,,,,,,,,,,,,,,,,,,,,,,,,,Water off,,Fan off,,,,,,
998,,,,,,,,,,,,,,,Roof vent opened,,,,,,,,,,,,,,,,,,,,,,,,,
1000,,,,,,,,"Monitor still on, handline operated into Door A, SS, 95 gpm",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1020,,,,,,,Fixed wide fog at Room B ceiling,,Monitor off,,,,Right burner off,Right burner off,,,,,,,,,,,,,,,,,,,,All burners off,,,,,,
1026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Water on fire,,,,,,,,
1023,,,,,,,,,,,,,,,BC door opened,,,,,,,,,,,,,,,,,,,,,,,,,
1035,,,,,,,,,,,,,,,,Right burner off,,,,,,,,,,,,,,,,,,,1st floor CD door opened,,,,,
1050,,,,,,,Wide fog rotated left at Room B ceiling,,,,,,,,,Center burner off,,,,,,,,,,,,,,,,,,,,,,,,
1065,,,,,,,,Handline off,,,,,,,,Left burner off,,,,,,,,,,,,,,,,,,,,,,,,
