Panel,Channel,Device Name,Type,X,Y,Z,Serial Number,Calibration Slope,Calibration Intercept,Test Specific Name
SC1Mod12,9,BDP_A12_4,Voltage,,,,,99.52,-248.8,BDP 12 4 West
SC1Mod12,10,BDP_A12_5,Voltage,,,,,99.52,-248.8,BDP 12 5 West
SC1Mod12,11,BDP_A12_6,Voltage,,,,,99.52,-248.8,BDP 12 6 West
SC1Mod12,12,TC_A15_1,TC,,,,,1,0,TC 15 1 West
SC1Mod12,13,TC_A15_2,TC,,,,,1,0,TC 15 2 West
SC1Mod12,14,TC_A15_3,TC,,,,,1,0,TC 15 3 West
SC1Mod12,15,BDP_A15_1,Voltage,,,,,99.52,-248.8,BDP 15 1 West
SC1Mod12,16,BDP_A15_2,Voltage,,,,,99.52,-248.8,BDP 15 2 West
SC1Mod12,17,BDP_A15_3,Voltage,,,,,99.52,-248.8,BDP 15 3 West
SC1Mod12,18,HF_1_V,Voltage,,,0.3 m AF,,1603.85,0,Heat Flux 1 V West
SC1Mod12,19,HF_1_H,Voltage,,,0.3 m AF,,1759.01,0,Heat Flux 1 H West
SC1Mod12,20,HF_2_V,Voltage,,,0.3 m AF,,4821.6,0,Heat Flux 2 V West
SC1Mod12,21,HF_2_H,Voltage,,,0.3 m AF,,5197.5,0,Heat Flux 2 H West
SC1Mod12,22,HF_3_V,Voltage,,,0.3 m AF,,2457,0,Heat Flux 3 V West
SC1Mod12,23,HF_3_H,Voltage,,,0.3 m AF,,2202.64,0,Heat Flux 3 H West
SC1Mod12,24,TC_S_9,TC,,,,,1,0,TC S 9
SC1Mod12,25,TC_S_10,TC,,,,,1,0,TC S 10
SC1Mod12,26,TC_S_11,TC,,,,,1,0,TC S 11
SC1Mod12,27,TC_S_12,TC,,,,,1,0,TC S 12
SC1Mod12,28,TC_S_13,TC,,,,,1,0,TC S 13
SC1Mod12,29,TC_S_14,TC,,,,,1,0,TC S 14
SC1Mod12,30,TC_S_15,TC,,,,,1,0,TC S 15
SC1Mod12,31,TC_S_16,TC,,,,,1,0,TC S 16
SC1Mod5,8,CO_A,Voltage,,,,A,1.25,-1.01,CO Gas Analyzer A
SC1Mod5,9,CO2_A,Voltage,,,,A,2.5,-1.01,CO2 Gas Analyzer A
SC1Mod5,10,O2_A,Voltage,,,,A,5.25,-1,O2 Gas Analyzer A
SC1Mod5,11,CO_B,Voltage,,,,B,1.25,-1.01,CO Gas Analyzer B
SC1Mod5,12,CO2_B,Voltage,,,,B,2.5,-1.01,CO2 Gas Analyzer B
SC1Mod5,13,O2_B,Voltage,,,,B,5.25,-1,O2 Gas Analyzer B
SC1Mod5,14,CO_C,Voltage,,,,C,1.25,-1.01,CO Gas Analyzer C
SC1Mod5,15,CO2_C,Voltage,,,,C,2.5,-1.01,CO2 Gas Analyzer C
SC1Mod5,16,O2_C,Voltage,,,,C,5.25,-1,O2 Gas Analyzer C
SC1Mod5,17,CO_D,Voltage,,,,D,1.25,-1.01,CO Gas Analyzer D
SC1Mod5,18,CO2_D,Voltage,,,,D,2.5,-1.01,CO2 Gas Analyzer D
SC1Mod5,19,O2_D,Voltage,,,,D,5.25,-1,O2 Gas Analyzer D
