Panel,Channel,Device Name,Calibration Slope,Calibration Intercept,Channel Name,Group Name,Measurement Type
SC1Mod12,0,TC_A12_1,1,0,TC 12 1 West,TC A12,Temperature
SC1Mod12,1,TC_A12_2,1,0,TC 12 2 West,TC A12,Temperature
SC1Mod12,2,TC_A12_3,1,0,TC 12 3 West,TC A12,Temperature
SC1Mod12,3,TC_A12_4,1,0,TC 12 4 West,TC A12,Temperature
SC1Mod12,4,TC_A12_5,1,0,TC 12 5 West,TC A12,Temperature
SC1Mod12,5,TC_A12_6,1,0,TC 12 6 West,TC A12,Temperature
SC1Mod12,6,BDP_A12_1,99.52,-248.8,BDP 12 1 West,BDP A12,Velocity
SC1Mod12,7,BDP_A12_2,99.52,-248.8,BDP 12 2 West,BDP A12,Velocity
SC1Mod12,8,BDP_A12_3,99.52,-248.8,BDP 12 3 West,BDP A12,Velocity
SC1Mod12,9,BDP_A12_4,99.52,-248.8,BDP 12 4 West,BDP A12,Velocity
SC1Mod12,10,BDP_A12_5,99.52,-248.8,BDP 12 5 West,BDP A12,Velocity
SC1Mod12,11,BDP_A12_6,99.52,-248.8,BDP 12 6 West,BDP A12,Velocity
SC1Mod12,12,TC_A15_1,1,0,TC Basement 5,TC Basement,Temperature
SC1Mod12,13,TC_A15_2,1,0,TC Basement 6,TC Basement,Temperature
SC1Mod12,14,TC_A15_3,1,0,TC Basement 7,TC Basement,Temperature
SC1Mod12,15,BDP_A15_1,1,0,TC Basement 8,TC Basement,Temperature
SC1Mod12,16,BDP_A15_2,11350.74,0,Heat Flux,Heat Flux 2,Heat Flux
SC1Mod12,17,BDP_A15_3,6016.85,0,Radiometer,Heat Flux 2,Heat Flux
SC1Mod12,18,HF_1_V,1603.85,0,Heat Flux 1 V West,Heat Flux,Heat Flux
SC1Mod12,19,HF_1_H,1759.01,0,Heat Flux 1 H West,Heat Flux,Heat Flux
SC1Mod12,20,HF_2_V,4821.6,0,Heat Flux 2 V West,Heat Flux,Heat Flux
SC1Mod12,21,HF_2_H,5197.5,0,Heat Flux 2 H West,Heat Flux,Heat Flux
SC1Mod12,22,HF_3_V,2457,0,Heat Flux 3 V West,Heat Flux,Heat Flux
SC1Mod12,23,HF_3_H,2202.64,0,Heat Flux 3 H West,Heat Flux,Heat Flux
SC1Mod12,24,TC_S_9,1,0,TC Basement 1,TC Basement,Temperature
SC1Mod12,25,TC_S_10,1,0,TC Basement 2,TC Basement,Temperature
SC1Mod12,26,TC_S_11,1,0,TC Basement 3,TC Basement,Temperature
SC1Mod12,27,TC_S_12,1,0,TC Basement 4,TC Basement,Temperature
SC1Mod12,28,TC_S_13,1,0,TC Manikin 3,TC Manikin,Temperature
SC1Mod12,29,TC_S_14,1,0,TC Manikin 4,TC Manikin,Temperature
SC1Mod12,30,TC_S_15,99.52,-248.8,Pressure S 1,Pressure,Pressure
SC1Mod12,31,TC_S_16,99.52,-248.8,Pressure S 2,Pressure,Pressure
