Fri Aug  9 02:13:56 2013,ArduinoHelmet1,139,13,0.0
Fri Aug  9 02:13:57 2013,ArduinoHelmet1,140,13,-0.0
Fri Aug  9 02:13:58 2013,ArduinoHelmet1,141,13,-0.0
Fri Aug  9 02:13:59 2013,ArduinoHelmet1,142,13,-0.0
Fri Aug  9 02:14:00 2013,ArduinoHelmet1,143,13,-0.0
Fri Aug  9 02:14:01 2013,ArduinoHelmet1,144,13,0.0
Fri Aug  9 02:14:02 2013,ArduinoHelmet1,145,13,0.0
Fri Aug  9 02:14:03 2013,ArduinoHelmet1,146,13,-0.0
Fri Aug  9 02:14:04 2013,ArduinoHelmet1,147,13,-0.0
Fri Aug  9 02:14:05 2013,ArduinoHelmet1,148,13,-0.0
Fri Aug  9 02:14:06 2013,ArduinoHelmet1,149,13,-0.0
Fri Aug  9 02:14:07 2013,ArduinoHelmet1,150,13,-0.0
Fri Aug  9 02:14:08 2013,ArduinoHelmet1,151,13,-0.0
Fri Aug  9 02:14:10 2013,ArduinoHelmet1,152,13,-0.0
Fri Aug  9 02:14:11 2013,ArduinoHelmet1,153,13,-0.0
Fri Aug  9 02:14:12 2013,ArduinoHelmet1,154,13,-0.0
Fri Aug  9 02:14:13 2013,ArduinoHelmet1,155,13,-0.0
Fri Aug  9 02:14:14 2013,ArduinoHelmet1,156,13,0.0
Fri Aug  9 02:14:15 2013,ArduinoHelmet1,157,13,0.0
Fri Aug  9 02:14:16 2013,ArduinoHelmet1,158,13,-0.0
Fri Aug  9 02:14:17 2013,ArduinoHelmet1,159,13,-0.0
Fri Aug  9 02:14:18 2013,ArduinoHelmet1,160,13,-0.0
Fri Aug  9 02:14:19 2013,ArduinoHelmet1,161,13,0.0
Fri Aug  9 02:14:20 2013,ArduinoHelmet1,162,13,0.0
Fri Aug  9 02:14:21 2013,ArduinoHelmet1,163,13,0.0
Fri Aug  9 02:14:22 2013,ArduinoHelmet1,164,13,-0.0
Fri Aug  9 02:14:23 2013,ArduinoHelmet1,165,13,0.0
Fri Aug  9 02:14:24 2013,ArduinoHelmet1,166,13,-0.0
Fri Aug  9 02:14:25 2013,ArduinoHelmet1,167,13,0.0
Fri Aug  9 02:14:26 2013,ArduinoHelmet1,168,13,0.0
Fri Aug  9 02:14:27 2013,ArduinoHelmet1,169,13,0.0
Fri Aug  9 02:14:28 2013,ArduinoHelmet1,170,13,0.0
Fri Aug  9 02:14:29 2013,ArduinoHelmet1,171,13,0.0
Fri Aug  9 02:14:30 2013,ArduinoHelmet1,172,13,0.0
Fri Aug  9 02:14:31 2013,ArduinoHelmet1,173,13,0.0
Fri Aug  9 02:14:32 2013,ArduinoHelmet1,174,13,0.0
Fri Aug  9 02:14:33 2013,ArduinoHelmet1,175,13,0.0
Fri Aug  9 02:14:34 2013,ArduinoHelmet1,176,13,-0.0
Fri Aug  9 02:14:35 2013,ArduinoHelmet1,177,13,0.0
Fri Aug  9 02:14:37 2013,ArduinoHelmet1,178,13,0.0
Fri Aug  9 02:14:38 2013,ArduinoHelmet1,179,13,0.0
Fri Aug  9 02:14:39 2013,ArduinoHelmet1,180,13,-0.0
Fri Aug  9 02:14:40 2013,ArduinoHelmet1,181,13,-0.0
Fri Aug  9 02:14:41 2013,ArduinoHelmet1,182,13,-0.0
Fri Aug  9 02:14:42 2013,ArduinoHelmet1,183,13,-0.0
Fri Aug  9 02:14:43 2013,ArduinoHelmet1,184,13,-0.0
Fri Aug  9 02:14:44 2013,ArduinoHelmet1,185,13,0.0
Fri Aug  9 02:14:45 2013,ArduinoHelmet1,186,13,0.0
Fri Aug  9 02:14:46 2013,ArduinoHelmet1,187,13,0.0
Fri Aug  9 02:14:47 2013,ArduinoHelmet1,188,13,-0.0
Fri Aug  9 02:14:48 2013,ArduinoHelmet1,189,13,-0.0
Fri Aug  9 02:14:49 2013,ArduinoHelmet1,190,13,-0.0
Fri Aug  9 02:14:50 2013,ArduinoHelmet1,191,13,-0.0
Fri Aug  9 02:14:51 2013,ArduinoHelmet1,192,13,-0.0
Fri Aug  9 02:14:52 2013,ArduinoHelmet1,193,13,-0.0
Fri Aug  9 02:14:53 2013,ArduinoHelmet1,194,13,-0.0
Fri Aug  9 02:14:54 2013,ArduinoHelmet1,195,13,0.0
Fri Aug  9 02:14:55 2013,ArduinoHelmet1,196,13,0.0
Fri Aug  9 02:14:56 2013,ArduinoHelmet1,197,13,0.0
Fri Aug  9 02:14:57 2013,ArduinoHelmet1,198,13,-0.0
Fri Aug  9 02:14:58 2013,ArduinoHelmet1,199,13,0.0
Fri Aug  9 02:14:59 2013,ArduinoHelmet1,200,13,0.0
Fri Aug  9 02:15:00 2013,ArduinoHelmet1,201,13,-0.0
Fri Aug  9 02:15:01 2013,ArduinoHelmet1,202,13,-0.0
Fri Aug  9 02:15:02 2013,ArduinoHelmet1,203,13,-0.0
Fri Aug  9 02:15:03 2013,ArduinoHelmet1,204,13,-0.0
Fri Aug  9 02:15:04 2013,ArduinoHelmet1,205,13,-0.0
Fri Aug  9 02:15:05 2013,ArduinoHelmet1,206,13,-0.0
Fri Aug  9 02:15:06 2013,ArduinoHelmet1,207,13,-0.0
Fri Aug  9 02:15:07 2013,ArduinoHelmet1,208,13,-0.0
Fri Aug  9 02:15:08 2013,ArduinoHelmet1,209,13,-0.0
Fri Aug  9 02:15:09 2013,ArduinoHelmet1,210,13,-0.0
Fri Aug  9 02:15:10 2013,ArduinoHelmet1,211,13,-0.0
Fri Aug  9 02:15:11 2013,ArduinoHelmet1,212,13,-0.0
Fri Aug  9 02:15:12 2013,ArduinoHelmet1,213,13,-0.0
Fri Aug  9 02:15:13 2013,ArduinoHelmet1,214,12,0.0
Fri Aug  9 02:15:14 2013,ArduinoHelmet1,215,12,-0.0
Fri Aug  9 02:15:15 2013,ArduinoHelmet1,216,12,-0.0
