s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_GEOM,Q_ENTH,Q_TOTAL,BURN_RATE
 2.5300514E+002, 9.7849218E+003,-3.6786384E+003,-5.9641683E+003,-1.3305873E+002,-7.4670545E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.4007801E+001, 8.3097008E+000, 7.5457317E-001
 2.5400165E+002, 9.6458591E+003,-3.6198048E+003,-5.9058863E+003,-1.2618048E+002,-7.2116563E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.8393579E+001,-6.7336888E+000, 7.5457317E-001
 2.5500145E+002, 9.6439498E+003,-3.5353971E+003,-6.0031467E+003,-1.2212814E+002,-7.1276368E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.0107288E+001,-1.7434840E+001, 7.5457317E-001
 2.5600348E+002, 1.0147667E+004,-3.7763315E+003,-6.1863310E+003,-1.1825836E+002,-7.1898292E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.6867172E+001, 6.6026967E+001, 7.5457317E-001
 2.5700177E+002, 1.0440417E+004,-3.8439224E+003,-6.4280870E+003,-1.2171580E+002,-7.6441821E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.0937121E+001, 4.5927623E+001, 7.5457317E-001
 2.5800061E+002, 9.7460283E+003,-3.6161337E+003,-6.0513613E+003,-1.1910700E+002,-7.2428137E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.3102556E+001,-4.1298011E+001, 7.5457317E-001
 2.5900275E+002, 9.6723377E+003,-3.5449578E+003,-6.0070137E+003,-1.1374616E+002,-7.9661019E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.3061438E+000, 5.8234252E+000, 7.5457317E-001
 2.6000009E+002, 1.0229518E+004,-3.6768455E+003,-6.4436188E+003,-1.1270989E+002,-8.8702398E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.0943896E+001,-4.5435317E+000, 7.5457317E-001
 2.6100403E+002, 9.9365156E+003,-3.6208850E+003,-6.1903104E+003,-1.1699975E+002,-7.5784928E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-8.7003212E+000, 7.5625795E+000, 7.5457317E-001
 2.6200174E+002, 9.9767090E+003,-3.7047224E+003,-6.0763860E+003,-1.2146338E+002,-7.3844378E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.5854725E+001, 7.3398768E+001, 7.5457317E-001
 2.6300497E+002, 9.8051479E+003,-3.6715087E+003,-6.0156885E+003,-1.2567568E+002,-6.9870441E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.3676304E+001,-8.4237097E+000, 7.5457317E-001
 2.6400479E+002, 1.0520071E+004,-3.8788011E+003,-6.4342710E+003,-1.2040267E+002,-7.2477831E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 6.3039863E+001, 8.5871677E+001, 7.5457317E-001
