Time (s),TC1_0-3mBC,TC1_0-61mBC,TC1_0-91mBC,TC1_1-22mBC,TC1_1-52mBC,TC1_1-83mBC,TC2_0-3mBC,TC2_0-61mBC,TC2_0-91mBC,TC2_1-22mBC,TC2_1-52mBC,TC2_1-83mBC,TC3_0-3mBC,TC3_0-61mBC,TC3_0-91mBC,TC3_1-22mBC,TC3_1-52mBC,TC3_1-83mBC,TC4_0-3mBC,TC4_0-61mBC,TC4_0-91mBC,TC4_1-22mBC,TC4_1-52mBC,TC4_1-83mBC,Event,Comment
39,19.902661,19.708882,19.921791,20.024788,19.860732,19.582104,20.325626,20.128021,20.154295,19.936291,19.919534,20.060654,20.288523,20.131879,19.715896,19.480346,19.829878,19.460346,19.829697,19.835254,19.457737,19.607604,19.397252,19.345598,-2.49E-05,
40,19.832365,19.752459,19.965351,20.068328,19.828356,19.511744,20.331207,20.057663,20.121915,20.017757,20.001014,20.028293,20.294104,20.09951,19.759444,19.561882,19.835461,19.465931,19.911235,19.764911,19.463322,19.57522,19.402837,19.351183,0.00028,
41,19.870305,19.790452,19.965351,20.068328,19.866315,19.549717,20.331207,20.057663,20.121915,19.941874,19.963066,20.028293,20.370003,20.061558,19.721479,19.561882,19.797515,19.465931,19.873259,19.840837,19.501307,19.53725,19.402837,19.351183,0.00028,
42,19.870305,19.752459,19.965351,20.03037,19.828356,19.511744,20.331207,20.057663,20.121915,19.941874,19.963066,19.990348,20.294104,20.09951,19.835371,19.523907,19.873406,19.465931,19.797301,19.840837,19.425336,19.49928,19.440817,19.313194,0.000128,
43,19.875888,19.796035,20.00891,20.035953,19.795979,19.593273,20.336788,19.9873,20.127497,19.985399,19.968649,20.033875,20.337635,20.143042,19.802992,19.567466,19.841044,19.433522,19.916818,19.846421,19.468907,19.618773,19.408422,19.394757,0.00028,
44,19.870305,19.866433,20.003327,20.068328,19.904273,19.625659,20.293248,19.981717,20.045988,20.017757,19.963066,19.990348,20.332054,20.09951,19.759444,19.523907,19.797515,19.465931,19.797301,19.840837,19.501307,19.613188,19.402837,19.351183,0.000128,
45,19.908244,19.866433,19.965351,20.03037,19.904273,19.587689,20.331207,20.01969,20.121915,19.90393,20.001014,20.028293,20.294104,20.13746,19.759444,19.485931,19.797515,19.465931,19.797301,19.840837,19.463322,19.57522,19.440817,19.275203,0.000128,
46,19.940599,19.82286,19.959768,20.024788,19.860732,19.620075,20.173783,20.05208,20.07837,19.974234,19.957483,20.022711,20.250571,20.169828,19.829788,19.594271,19.829878,19.49834,19.829697,19.797292,19.495722,19.531666,19.359271,19.307608,0.000433,
47,19.875888,19.910005,20.00891,20.035953,19.871898,19.593273,20.298829,20.025273,20.165459,19.947456,19.89275,20.071819,20.299685,20.105092,19.802992,19.529492,19.841044,19.471516,19.840864,19.846421,19.506892,19.618773,19.408422,19.356769,0.000128,
48,19.870305,19.828443,20.003327,19.992412,19.866315,19.587689,20.331207,20.01969,20.121915,20.017757,19.963066,20.066236,20.256152,20.13746,19.797408,19.561882,19.911349,19.465931,19.835281,19.802875,19.501307,19.613188,19.364856,19.351183,0.00028,
