Time (s),North_Heat_Flux_1,South_Heat_Flux_1,North_Heat_Flux_2,South_Heat_Flux_2
176,1.67789646,2.237180106,1.858826259,2.341650864
177,1.712263014,2.337572426,1.783354611,2.401886256
178,1.674190263,2.314042976,1.888138908,2.373494053
179,1.7183277,2.351846959,1.869270996,2.347141069
180,1.800537888,2.362670506,1.835578296,2.389964668
181,1.992586278,2.338356741,1.801885596,2.318592003
182,1.901279061,2.183846686,1.815362676,2.42980787
183,1.787060808,2.064787669,1.759095867,2.456631443
184,1.87668339,2.081258284,1.7520204,2.490043262
185,1.788071589,2.045650383,1.780322268,2.544004134
186,1.79919018,2.091454379,1.764149772,2.699141641
187,1.887465054,2.037022918,1.690025832,2.627141524
188,1.965969045,2.090199475,1.769203677,2.641729783
189,1.908691455,2.150748593,1.756400451,2.59451402
190,1.919473119,2.171454509,1.799527107,2.537886477
191,1.765160553,2.095219091,1.828165902,2.464160867
192,1.847707668,2.10667009,1.806265647,2.448160841
193,1.781669976,2.161415277,1.870618704,2.449415745
194,1.815699603,2.171925098,1.92722244,2.378984258
195,1.872977193,2.187611398,1.876346463,2.372082286
196,1.887128127,2.127376006,1.884769638,2.475925592
197,1.905322185,2.204866328,1.792788567,2.503376617
198,1.878704952,2.128944636,1.764486699,2.540082559
199,2.000672526,2.149650552,1.757411232,2.555455133
200,1.95754587,2.223219299,1.726413948,2.496788371
201,1.990227789,2.220709491,1.693058175,2.52235704
202,2.026278978,2.148238785,1.762802064,2.459298114
203,1.993260132,2.045336657,1.895214375,2.396239188
204,2.006063358,2.006905222,1.905659112,2.303219429
205,2.044473036,2.01255229,1.905996039,2.249729146
206,2.043462255,2.014277783,1.886117346,2.17255255
207,2.122977027,1.993571867,2.037060642,2.167689797
208,1.897572864,1.965179664,1.918462338,2.34510185
209,2.059971678,2.053493533,1.781669976,2.390435257
210,2.03503908,2.126434828,1.823111997,2.444082403
211,1.966979826,2.031689576,1.758422013,2.432474541
212,2.029648248,2.024160152,1.834567515,2.551376695
213,2.049190014,2.112630884,1.762802064,2.542906093
214,2.043799182,2.09882694,1.757411232,2.622121908
215,2.178569982,2.136317197,1.733489415,2.606592471
216,2.004041796,2.053650396,1.767855969,2.614278758
217,2.007411066,1.985571854,1.689015051,2.799533961
218,1.921831608,1.960473774,1.649931519,2.778984908
219,1.884432711,1.942748255,1.720686189,2.698514189
220,2.044136109,2.059768053,1.756737378,2.597808143
221,2.034702153,2.096317132,1.800200961,2.44078828
222,1.965295191,2.122042664,1.839958347,2.363611684
223,1.89352974,2.073571997,1.889149689,2.379297984
224,2.02830054,2.038591548,1.828502829,2.496317782
225,2.039756058,2.058670012,1.807276428,2.525337437
226,1.942384155,2.077336709,1.753031181,2.575376734
227,1.95754587,2.116866185,1.763138991,2.598592458
228,1.914082287,2.096630858,1.756063524,2.590435582
229,1.965969045,2.14431721,2.02493127,2.424631391
230,1.858489332,2.030591535,1.988543154,2.219454587
231,,,2.043462255,2.154827031
232,,,2.036049861,2.077493572
233,,,1.871629485,2.153572127
234,,,1.903974477,2.133179937
235,,,2.03503908,2.215219286
236,,,1.901615988,2.313886113
237,,,1.82951361,2.368317574
238,,,1.80929799,2.459298114
239,,,1.861858602,2.408317639
240,,,1.774257582,2.367533259
241,,,1.773920655,2.392317613
242,,,1.827828975,2.404552927
243,,,1.815362676,2.258670337
244,,,1.891508178,2.284239006
245,,,1.912734579,2.261023282
246,,,1.857815478,2.376317587
247,,,1.801548669,2.423062761
248,,,1.881737295,2.404239201
249,,,1.780996122,2.419611775
250,,,1.778300706,2.485651098
251,,,1.734837123,2.530043327
252,,,1.733152488,2.573651241
253,,,1.772909874,2.631219962
254,,,1.82277507,2.533808039
255,,,1.824122778,2.531925683
256,,,1.917451557,2.564866913
257,,,1.8530985,2.525180574
258,,,1.776616071,2.619768963
259,,,1.752694254,2.65255333
260,,,1.808287209,2.627768976
261,,,1.883758857,2.538827655
262,,,1.968664461,2.53176882
263,,,1.999998672,2.45020006
264,,,2.007074139,2.354356767
265,,,1.938341031,2.373807779
266,,,1.759432794,2.410356858
267,,,1.796494764,2.430749048
268,,,1.797168618,2.344788124
269,,,1.730120145,2.262748775
270,,,1.723718532,2.395454873
