Time (s),Center TC 01,Center TC 02,Center TC 03,Center TC 04,Center TC 05,Center TC 06,Center TC 07,Center TC 08,Center TC 09,Center TC 10,Center TC 11,Center TC 12,,North Heat Flux,South Heat Flux,Average HF
95,828.3501949,862.1319073,814.2578493,704.6769519,647.4732826,576.4589081,495.3673262,393.0892273,319.8133854,249.6809933,250.7586519,213.4883372,,1.881063441,2.127689732,2.004376587
96,833.9050967,861.3488181,816.3630085,705.8551023,646.7231909,569.5504753,487.3453114,387.8013591,321.9005954,253.8237209,247.7963005,212.1064295,,1.832209026,2.121415212,1.976812119
97,828.7018361,840.8368661,802.2443183,686.6162066,646.4676622,565.1193359,483.3573151,387.3338438,319.9017882,257.786065,249.1033886,209.9266926,,1.835915223,2.168160386,2.002037805
98,817.7313514,802.081588,764.4126496,645.7235777,604.0399178,535.272455,452.6503036,364.5830327,307.0934127,253.4560279,251.385013,213.3820176,,1.865564799,2.192631014,2.029097907
99,819.2071141,803.8150612,785.8126249,663.6117581,616.8449111,535.569862,442.0930557,353.4416856,304.5813682,253.9467957,255.1344873,216.3256687,,1.880389587,2.088473982,1.984431785
100,827.0297631,807.7728515,802.0706538,688.5545833,634.572347,548.7350059,451.2846263,358.8150882,298.358082,247.1603731,248.0467827,210.1027999,,1.83288288,2.09255242,1.96271765
101,822.4846428,832.5216079,824.0035184,709.689566,664.4139705,583.8913568,488.0659431,382.0487343,315.8282956,261.9669113,259.6510018,217.9094707,,1.853435427,2.006120907,1.929778167
102,805.1515003,833.6297593,824.9885002,723.5756439,685.3792904,608.3636413,507.2658059,398.1025283,335.5244977,283.743452,279.1323198,238.5456371,,1.884769638,1.956709062,1.92073935
103,797.0879398,849.8364242,838.4942167,730.0693352,691.5911609,619.4255949,532.4928371,420.8329087,346.9711477,295.5172731,287.5730581,241.2072555,,1.934297907,1.950434542,1.942366225
104,789.5823042,845.3037186,845.0412113,740.9459339,702.0460018,619.799142,542.4597742,428.3517559,348.665171,299.0968542,309.9515699,260.0328437,,2.029985175,1.951846309,1.990915742
105,795.3858804,856.4238604,845.0700994,723.8170999,676.3361882,594.2317677,505.0483847,398.6285541,330.4850852,285.8061566,290.4807466,247.1235014,,2.127694005,1.973650266,2.050672136
106,796.1503919,871.4072067,845.8300046,727.0188207,690.6789276,598.7218769,504.3115872,394.5055596,326.5188904,281.1273306,276.247418,237.2795131,,1.919473119,2.003767962,1.961620541
107,796.1092731,878.4384628,851.9907259,750.1611318,710.5817149,623.0123049,527.5568861,417.9148965,346.7482317,287.3230927,280.9693628,239.3376092,,2.026278978,2.052238629,2.039258804
108,800.9114997,881.7694881,850.4502534,765.209478,718.9537427,637.0728995,544.3698809,440.9658176,377.4066214,307.8995404,298.4579994,254.5355903,,1.937667177,2.005650318,1.971658748
109,817.1526864,884.7437136,853.5149696,773.7405183,720.196739,639.3373167,563.3528422,460.755697,396.6303733,326.319438,313.7705861,264.2107597,,1.862532456,2.001885606,1.932209031
110,833.6774158,874.7102092,863.3111082,782.067025,728.0614014,655.4943773,570.9107274,457.6631846,399.177445,324.2066919,311.5843509,258.5447115,,1.835241369,2.035140562,1.935190966
111,821.7184801,881.5831212,872.7144376,799.2847958,746.9815926,667.0884348,581.5171464,468.7174146,407.0110895,335.0872954,320.4780557,273.3442006,,1.907680674,2.049415095,1.978547885
112,813.7778828,893.2405285,876.6284486,814.5107006,754.0308254,669.9368443,588.7812491,490.5736777,420.7104947,341.5126663,320.7053884,272.6013229,,1.894203594,2.069179833,1.981691714
113,808.3993909,888.8204596,874.8734941,819.4678989,754.1487513,670.2367695,603.6214531,504.6814482,425.8440368,342.7875325,328.6654974,285.665652,,1.783017684,2.007062085,1.895039885
114,816.0652945,879.0307902,865.6199297,807.7830426,744.218555,654.3467013,601.9689944,503.6615813,425.4886656,356.496668,341.3988629,295.7198284,,1.882074222,2.089572023,1.985823123
115,828.6370626,876.3186431,864.7392691,793.0842765,732.3092174,638.3287722,578.6707382,487.1866207,414.4817262,349.1330796,330.4971087,284.602071,,1.798516326,2.099924981,1.949220654
116,831.0159111,875.9196812,878.5108486,799.9769625,743.3657265,656.3678489,587.3720943,491.4065593,409.816792,348.4279153,325.2934966,281.5025211,,1.901952915,2.119846582,2.010899749
117,823.0817355,876.4680059,875.0480049,807.6179585,748.391056,665.4584224,592.7350841,490.2236184,409.9450997,350.0873704,326.9221122,285.1215391,,1.80929799,2.096630858,1.952964424
118,820.3284288,879.7431407,864.0188094,791.6210987,732.142116,648.8802178,574.2847058,461.7563124,382.8037324,331.0026333,317.1307291,276.3470666,,1.857478551,2.134434841,1.995956696
119,815.5627107,862.85175,843.0383352,782.8079382,722.3028683,637.4634363,561.8643789,450.7128217,371.6790586,317.984919,317.2239713,275.1856386,,1.956872016,2.180081974,2.068476995
120,819.8347922,853.5359227,836.028607,771.1880215,711.2116252,622.2174038,548.0834204,451.6633064,370.896073,310.8505523,302.8898152,261.7350375,,1.70485062,2.20863104,1.95674083
121,822.6088872,847.6518865,824.9933129,758.3321931,699.8391238,603.681334,527.6049315,435.9209633,362.8866672,303.1969302,295.8635758,256.1342677,,1.765160553,2.209572218,1.987366386
122,819.6167562,849.5761319,816.7388849,752.1830436,691.0004857,604.7327452,530.5470129,446.8294108,366.5985509,300.5812055,291.5210602,252.4094205,,1.84299069,2.152630949,1.99781082
123,823.1544127,847.9489859,814.0759388,745.7743905,682.6158323,597.4151192,519.1843021,426.9067105,352.9060829,288.283248,283.2054585,247.8721714,,1.808624136,2.167689797,1.988156967
124,804.6838522,840.5077389,799.0870757,730.1620055,670.9444714,583.5877139,505.7516291,419.5933697,353.8540334,290.4617592,275.1598278,236.5339107,,1.733826342,2.265258583,1.999542463
125,765.6246256,781.1509297,746.0978349,684.8733544,632.3917696,547.7799613,480.0447364,401.9977904,336.6462827,280.6697898,261.2547746,225.2486998,,1.669136358,2.363297958,2.016217158
126,776.212741,774.6317525,724.9693191,660.5429004,608.6338607,528.4003282,462.2323016,385.7148408,321.5684438,269.3733467,252.8297198,219.4773716,,1.705861401,2.409729406,2.057795404
127,804.7218878,805.4101289,743.9003693,668.4743566,621.1459306,532.9766346,461.8220829,383.8735599,321.4451156,263.8007629,250.6487863,216.3697215,,1.709230671,2.362984232,2.036107452
128,814.7355185,836.0230416,789.6841554,718.7533536,666.4112637,575.0413883,497.11681,418.3232693,349.2512425,282.1272516,265.6357694,226.5401693,,1.836926004,2.210983985,2.023954995
129,808.846865,844.0758244,813.743395,730.1822683,675.3404,582.8490514,505.2573979,431.3875365,364.9533613,299.0319162,273.2783377,231.0992623,,1.744271079,2.202199657,1.973235368
130,797.3772409,850.4789326,815.9352048,744.3057241,672.3054078,573.7394045,506.0655747,417.9656116,352.280115,290.6695576,269.6155518,227.6487115,,1.737195612,2.173336865,1.955266239
131,807.1143644,858.4542082,808.5606589,734.9388224,662.0988844,561.2351134,483.8123026,400.4493393,338.4429042,280.1389319,258.8497655,218.6991369,,1.66778865,2.188866302,1.928327476
