Time (s),Center TC 01,Center TC 02,Center TC 03,Center TC 04,Center TC 05,Center TC 06,Center TC 07,Center TC 08,Center TC 09,Center TC 10,Center TC 11,Center TC 12,,North Heat Flux,South Heat Flux,Average HF
80,816.2929417,858.7374435,798.6825571,716.0708835,667.3485541,579.1087884,486.0774408,395.7687215,349.9181164,301.1736815,272.2370791,231.7095197,,1.930928637,2.463219689,2.197074163
81,811.0345688,844.5535314,790.5638757,687.9894696,645.7501329,556.1271341,467.0567391,379.6947304,333.3714948,284.4330483,257.1607428,217.6239313,,1.848381522,2.344944987,2.096663255
82,810.8309829,831.4470971,772.1702858,671.6661509,633.4187837,538.6961327,453.2113617,371.2826648,322.5287638,274.976198,251.2894786,210.8731368,,1.852761573,2.482200112,2.167480843
83,798.0869682,813.4089514,736.2329371,642.1323787,602.1263901,522.4167702,428.181907,353.8035436,309.386956,263.8626676,239.9120598,204.5391638,,1.887465054,2.415533337,2.151499196
84,782.3346338,783.0944552,704.4113518,614.2458708,583.0779505,513.1103589,416.7789081,341.1790567,297.0505844,250.5755051,227.8846484,197.046889,,1.887801981,2.362513643,2.125157812
85,791.9430227,780.2943156,703.3292895,611.2088045,584.8404037,518.7797006,428.1356173,350.0383246,302.8278607,247.0908263,224.710492,194.5783568,,1.914082287,2.503219754,2.208651021
86,795.0429279,793.2999123,710.1217362,603.6017181,577.3742155,507.1522751,424.7329112,353.9610508,306.7279734,256.1656007,237.2977176,201.3209416,,1.941036447,2.396239188,2.168637818
87,794.210631,788.9723033,696.5827535,597.2059823,570.9571655,496.1038669,416.4927799,347.0657022,294.4068372,250.6430943,233.081519,198.6573679,,1.941036447,2.293180197,2.117108322
88,794.9162827,791.6770446,706.399374,613.0285715,573.2824248,504.1833165,419.9986665,344.5509773,290.9950094,242.8926958,223.5844752,191.2297187,,2.003367942,2.275140952,2.139254447
89,790.6051273,787.6340463,699.7840893,603.1817114,572.7170602,497.1896154,414.1328579,336.3483743,285.1168342,240.8445939,219.9302889,190.0215469,,2.072437977,2.292709608,2.182573793
90,796.4090649,792.5588642,712.8367491,614.8361425,579.0546206,495.7838636,407.4952338,334.231301,286.0829089,241.8379227,222.1420161,193.3007261,,1.942721082,2.316552784,2.129636933
91,793.3971509,790.0106964,719.4183226,624.0252817,581.3725953,491.7587832,398.9966945,327.0846699,275.1783783,232.7365696,220.8692691,192.8800259,,1.992923205,2.318121414,2.15552231
92,786.8116043,806.5683503,739.3950441,643.0334737,591.7352594,490.5219817,397.3385206,326.3204108,271.5599524,231.1503949,218.5468375,189.4612354,,1.962936702,2.205023191,2.083979947
93,794.0828238,797.8609829,727.3348707,629.8170416,595.1699866,491.1889611,397.4390355,324.9988166,269.8099808,228.8879532,222.5941662,191.2176999,,1.92722244,2.164238811,2.045730626
94,791.7948262,779.1288094,701.7588855,599.1543396,562.903527,467.7085841,386.6957623,324.7436646,272.4223617,229.8754046,217.8504775,187.8741166,,1.98113076,2.196709452,2.088920106
95,776.6533447,753.4845071,669.1387812,562.5993493,531.6376002,449.1766971,372.1577831,314.1102971,267.0763394,223.7546537,207.2257245,179.2036589,,1.997303256,2.156395661,2.076849459
96,799.3336044,778.1528022,683.0285412,567.2168696,530.7151816,448.6769097,367.1800915,307.9428323,266.1751595,222.4781565,204.8800599,178.4927277,,2.036723715,2.08470927,2.060716493
97,813.1942243,793.5061281,719.7201159,603.5029996,553.9914666,462.9257227,366.9454964,304.8076267,262.848479,221.1321984,207.9702265,180.5990787,,1.941036447,2.093964187,2.017500317
98,814.588342,793.3283648,720.5397492,602.9703085,563.763255,473.0806651,371.5880196,307.260117,265.6980487,222.7789929,212.8085354,184.8609364,,1.989217008,2.250670324,2.119943666
99,816.8553957,809.3197854,739.1094546,614.5536354,588.4053002,495.9286153,386.3867749,313.4295405,269.8690639,223.3205193,211.2180963,180.9272024,,1.914082287,2.267454665,2.090768476
100,822.148749,830.6917216,754.122782,637.4314092,594.8509125,502.4563082,387.7176607,314.5664815,267.2779717,220.0454923,209.4300611,177.0211023,,1.897572864,2.232003627,2.064788246
101,802.6772273,803.7445539,735.6671886,612.9797677,571.2093981,499.5665384,378.4955014,305.4797881,258.7479819,214.1661147,203.9092503,175.8810406,,1.912397652,2.238121284,2.075259468
102,795.9422458,798.1209901,718.9404272,600.1639034,565.1491886,489.2372263,374.967995,300.9177887,252.2357554,210.6000756,200.594784,174.3090611,,1.836589077,2.32470966,2.080649369
103,785.2926979,772.9246536,696.0839126,571.4526014,539.5153635,464.8087011,358.8813432,292.9131774,247.4478841,207.77895,200.8703085,174.9531423,,1.770551385,2.438592198,2.104571792
104,781.6399349,766.9326213,675.3932132,544.2830019,508.2396168,438.2595561,344.0479967,282.2530212,239.9852669,202.4479026,196.0950307,171.4436081,,1.712936868,2.524553122,2.118744995
105,787.5742113,777.5455551,692.0810738,568.4650893,529.9653744,446.5276024,351.4214547,280.5796371,238.6085276,200.8485912,193.484924,168.654658,,1.720012335,2.506200151,2.113106243
106,792.6367122,801.9126789,724.7926829,603.2077847,554.0150418,461.9784583,361.0837654,283.2331126,239.5747339,201.366984,189.9664464,163.9819746,,1.757748159,2.53020019,2.143974175
107,802.3731739,817.5664523,725.5866085,618.0187369,584.0205523,492.0468358,386.5448176,305.1482469,260.3505302,225.2419306,210.3737869,177.2315763,,1.720349262,2.441102006,2.080725634
108,801.5170987,823.091728,729.4112663,620.9043177,595.1746072,524.3592888,409.4788258,331.8001846,281.7543395,243.0404421,229.8366965,191.1491754,,1.838947566,2.379454847,2.109201207
109,810.4980253,825.4625133,733.723699,619.6386434,605.4933361,531.1043758,417.4661672,337.1934448,286.5077436,243.8691253,232.2373069,195.443152,,1.750335765,2.423219624,2.086777695
110,812.1305441,823.9122516,702.0223697,590.1535891,577.3769756,505.243625,408.865529,330.2892206,282.781524,238.8155795,225.617375,190.4799379,,1.770214458,2.449572608,2.109893533
111,782.8844127,778.4436623,668.7567251,561.9582548,542.0173444,479.751119,391.3013882,317.1912649,270.2547497,229.5481974,215.9374516,183.2440339,,1.804581012,2.363768547,2.08417478
112,777.7435023,759.0354398,653.1520684,545.280994,531.4411825,463.4604772,378.8528174,308.9307642,260.5607641,222.5005085,211.8564866,178.0052476,,1.710241452,2.346513617,2.028377535
113,777.2191275,741.784812,639.3857424,531.3991325,522.4826469,449.0826415,367.4641162,301.5812934,254.1106829,218.1090166,208.1620058,174.2932464,,1.731467853,2.506043288,2.118755571
114,789.9439729,774.9494137,661.0994695,531.3321296,515.3760041,439.6951164,352.7820076,290.001725,247.3275157,211.4671406,200.4205725,168.3841505,,1.699796715,2.533023724,2.11641022
115,776.9557176,756.3986522,655.8794055,527.9361869,514.0152831,438.8781156,345.5893526,280.6065025,239.9182435,203.4478397,193.3356465,163.4032863,,1.746292641,2.512474671,2.129383656
116,762.1334743,745.9868451,654.0678147,525.2990008,505.6644949,429.1723753,337.9657168,275.5268863,236.3017313,198.3732535,189.0219109,160.3716531,,1.688678124,2.535847258,2.112262691
117,766.1159217,743.5640162,661.5356802,535.0563961,524.7277577,445.4420718,353.3220755,283.5610726,235.2569024,193.6627906,186.0401543,159.4650629,,1.670484066,2.467768716,2.069126391
