s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_GEOM,Q_ENTH,Q_TOTAL,BURN_RATE
 2.8900037E+002, 9.5684326E+003,-3.5228461E+003,-5.8431852E+003,-2.2324581E+002, 3.2119882E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.0105735E+001,-1.7632566E+001, 7.5457317E-001
 2.9000079E+002, 9.5353313E+003,-3.4896790E+003,-5.8180655E+003,-2.1023171E+002, 3.3206027E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.5035439E+000, 2.0675671E+001, 7.5457317E-001
 2.9100012E+002, 9.7429806E+003,-3.4974452E+003,-6.0830368E+003,-1.9918893E+002, 3.2881558E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.8304235E+001,-3.3402138E+001, 7.5457317E-001
 2.9200516E+002, 9.7370326E+003,-3.4667108E+003,-6.0607037E+003,-1.9547377E+002, 3.2493172E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.2791720E+000, 1.7393641E+001, 7.5457317E-001
 2.9300073E+002, 9.6114849E+003,-3.4457964E+003,-5.9571629E+003,-1.9434534E+002, 3.3635883E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-6.3931053E+000, 1.7543834E+001, 7.5457317E-001
 2.9400574E+002, 9.8534783E+003,-3.5450550E+003,-6.0958131E+003,-1.9721415E+002, 3.2776710E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.4721340E+000, 1.8673712E+001, 7.5457317E-001
 2.9500443E+002, 1.0198329E+004,-3.6219089E+003,-6.3227553E+003,-2.0749345E+002, 3.3662604E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.3289557E+001, 4.9537394E+001, 7.5457317E-001
 2.9600412E+002, 9.2312077E+003,-3.3794780E+003,-5.6264585E+003,-2.1129805E+002, 3.1666758E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.2368577E+000, 1.7139848E+001, 7.5457317E-001
 2.9700131E+002, 1.0106687E+004,-3.6557154E+003,-6.2135223E+003,-2.1099975E+002, 3.1222330E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.6061958E+001, 2.9571294E+001, 7.5457317E-001
 2.9800500E+002, 9.4423900E+003,-3.4299854E+003,-5.8421015E+003,-2.1051495E+002, 3.2584886E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.5448724E+001,-3.6953347E+001, 7.5457317E-001
 2.9900223E+002, 9.8086583E+003,-3.4772570E+003,-6.1100880E+003,-1.9828785E+002, 3.2516852E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 9.2412186E+000, 2.6277065E+001, 7.5457317E-001
 3.0000552E+002, 9.8516396E+003,-3.5378933E+003,-6.0449344E+003,-2.0288621E+002, 3.0949262E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.1949602E+001, 6.9020691E+001, 7.5457317E-001
