Test Number,Test Type,Old Test Key,New Test Key,Start of Test,End of Test,Test Description,Excluded Groups,Excluded Channels,HRR Excluded Channels,Y Scale BDP,Y Scale HF,Y Scale TC,Y Scale TC_Helmet,Y Scale GAS,Y Scale HOSE,Y Scale TC_Gear,Y Scale PRESSURE,Y Scale TC_Manikin,Ambient Temp
18,PPV,PPV_NOONN,PPV_NOONO,60,242,,None,None,None,None,None,None,None,None,None,None,None,None,30
19,PPV,PPV_YoCONN,PPV_OCONO,60,240,,None,None,None,None,None,None,None,None,None,None,None,None,30
20,PPV,PPV_YoOONN,PPV_OOONO,60,242,,None,None,None,None,None,None,None,None,None,None,None,None,30
21,PPV,PPV_YiCCNN,PPV_ICCNO,60,240,,None,None,None,None,None,None,None,None,None,None,None,None,30
22,PPV,PPV_YiOCNN,PPV_IOCNO,61,242,,None,None,None,None,None,None,None,None,None,None,None,None,30
23,PPV,PPV_YiCONN,PPV_ICONO,71,251,,None,None,None,None,None,None,None,None,None,None,None,None,30
24,PPV,PPV_YiOONN,PPV_IOONO,66,246,,None,None,None,None,None,None,None,None,None,None,None,None,30
25,PPV,PPV_YoCOrNN,PPV_OCRNO,60,241,,None,None,None,None,None,None,None,None,None,None,None,None,30
26,PPV,PPV_YoOOrNN,PPV_OORNO,60,240,,None,None,None,None,None,None,None,None,None,None,None,None,30
27,PPV,PPV_YoCOlNN,PPV_OCLNO,64,244,,None,None,None,None,None,None,None,None,None,None,None,None,30
28,PPV,PPV_YoOOlNN,PPV_OOLNO,60,241,,None,None,None,None,None,None,None,None,None,None,None,None,30
29,HOSE,HOSE_DSTODF,HOSE_DSXOXF,128,612,Monitor located at Door C,None,BDP_A7_1p15_BS|BDP_A7_1p68_BS|BDP_A7_1p95_BS|BDP_A9_0p34_BS|BDP_A9_0p88_BS|BDP_A9_1p42_BS|BDP_A9_1p68_BS|BDP_A9_1p95_BS,None,5,None,None,None,None,120,None,None,None,30
30,HOSE,HOSE_DNTODF,HOSE_DNXOXF,120,660,Monitor located at Door BC,None,BDP_A7_1p15_BS|BDP_A7_1p68_BS|BDP_A7_1p95_BS|BDP_A9_0p34_BS|BDP_A9_0p88_BS|BDP_A9_1p42_BS|BDP_A9_1p68_BS|BDP_A9_1p95_BS,None,5,None,None,None,None,120,None,None,None,30
