Day of the Week ,Date Time ,Outside Temperature TX1 (°F),Outside Humidity TX1 (%),Wind Speed TX1 (mph),High Wind Speed TX1 (mph),Dominant Wind Dir TX1,Rain Amount TX1 (in),Outside Temperature TX2 (°F),Outside Humidity TX2 (%),Wind Speed TX2 (mph),High Wind Speed TX2 (mph),Dominant Wind Dir TX2,Rain Amount TX2 (in),Inside Temperature (°F),Inside Humidity (%),Barometric Pressure (in)
Tue, 07-01-2014 01:09:00,72.6,84,0.0,0.0,,0.00,72.6,84,0.1,1.0,SW,0.00,79.8,58,29.93
Tue, 07-01-2014 01:10:00,72.6,84,0.0,0.0,,0.00,72.7,84,0.0,0.0,,0.00,79.8,58,29.93
Tue, 07-01-2014 01:11:00,72.6,85,0.0,0.0,,0.00,72.6,84,0.3,1.0,SW,0.00,79.8,58,29.93
Tue, 07-01-2014 01:12:00,72.6,85,0.0,0.0,,0.00,72.6,84,0.1,1.0,SW,0.00,79.8,58,29.93
Tue, 07-01-2014 01:13:00,72.6,85,0.4,1.0,SSW,0.00,72.7,84,0.3,1.0,SW,0.00,79.7,58,29.93
Tue, 07-01-2014 01:14:00,72.6,85,0.1,1.0,SSW,0.00,72.6,84,0.4,1.0,SW,0.00,79.8,58,29.93
Tue, 07-01-2014 01:15:00,72.6,85,0.1,1.0,WSW,0.00,72.7,85,0.1,1.0,SW,0.00,79.7,58,29.93
Tue, 07-01-2014 01:16:00,72.6,85,0.0,0.0,,0.00,72.7,85,0.0,0.0,,0.00,79.7,58,29.93
Tue, 07-01-2014 01:17:00,72.6,85,0.0,0.0,,0.00,72.7,84,0.3,1.0,SSW,0.00,79.7,58,29.93
Tue, 07-01-2014 01:18:00,72.6,85,0.6,2.0,WSW,0.00,72.7,84,0.8,2.0,SSW,0.00,79.7,58,29.93
Tue, 07-01-2014 01:19:00,72.6,85,0.8,2.0,SSW,0.00,72.7,85,0.9,3.0,SSW,0.00,79.7,58,29.93
Tue, 07-01-2014 01:20:00,72.6,85,0.6,2.0,SSW,0.00,72.7,85,0.1,3.0,SSW,0.00,79.6,58,29.93
Tue, 07-01-2014 01:21:00,72.6,85,0.2,1.0,SSW,0.00,72.7,85,0.3,1.0,SSW,0.00,79.6,58,29.93
Tue, 07-01-2014 01:22:00,72.6,85,0.1,1.0,SSW,0.00,72.7,85,0.1,1.0,SSW,0.00,79.6,58,29.93
Tue, 07-01-2014 01:23:00,72.6,86,0.0,0.0,,0.00,72.7,85,0.4,2.0,WSW,0.00,79.6,58,29.93
Tue, 07-01-2014 01:24:00,72.6,86,0.0,0.0,,0.00,72.7,85,0.3,1.0,WSW,0.00,79.6,58,29.93
Tue, 07-01-2014 01:25:00,72.6,86,0.0,0.0,,0.00,72.7,85,0.5,2.0,WSW,0.00,79.5,58,29.93
Tue, 07-01-2014 01:26:00,72.6,86,0.0,0.0,,0.00,72.7,85,0.1,1.0,WSW,0.00,79.5,58,29.93
Tue, 07-01-2014 01:27:00,72.6,86,0.0,0.0,,0.00,72.7,85,0.1,1.0,WSW,0.00,79.5,58,29.93
