Time,PUF 1,PUF 2,PUF 3,PUF 4
236,-0.0019171,0.0176575,0.020079,0.0119062
237,-0.0077693,0.0226015,0.025124,0.0102918
238,-0.0057513,0.0250231,0.0226015,0.0142269
239,-0.0042378,0.0126125,0.0118053,0.0157404
240,-0.0061549,0.0101909,0.0068612,0.0166485
241,-0.0063567,0.0088792,0.0039351,0.0132179
242,-0.0038342,0.0075675,0.0071639,0.015135
243,-0.0022198,0.0081729,0.0046414,0.0116035
244,-0.0072648,0.0101909,-0.0025225,0.0146305
245,-0.0058522,0.0094846,-0.0032288,0.0135206
246,-0.0044396,0.0075675,-0.0032288,0.0106954
247,-0.002018,0.0086774,-0.0004036,0.0092828
248,-0.0054486,0.0044396,-0.0026234,0.009081
249,-0.0041369,0.006054,-0.0014126,0.0049441
250,-0.0093837,0.0078702,-0.0029261,0.0051459
251,-0.0044396,0.0091819,-0.0054486,0.0025225
252,-0.0065585,0.0095855,-0.0072648,0.0041369
253,-0.0068612,0.0101909,-0.003027,0.0071639
254,-0.0058522,0.0079711,-0.0061549,0.0052468
255,-0.0034306,0.0057513,-0.0057513,0.0056504
256,-0.0027243,0.0055495,-0.0054486,0.0071639
257,-0.0027243,0.008072,-0.0061549,0.0024216
258,-0.0033297,0.0078702,-0.0025225,0.0056504
259,-0.0057513,0.0055495,-0.0079711,0.0154377
260,-0.006054,0.0033297,-0.0082738,0.0174557
261,-0.0024216,0.0059531,-0.0046414,0.0135206
262,-0.006054,0.006054,-0.002018,0.0120071
263,-0.0079711,0.0012108,0.0019171,0.0063567
264,-0.0068612,0.0028252,0.0074666,0.0136215
265,-0.0101909,0.0067603,0.0075675,0.014126
266,-0.0035315,0.0047423,0.0043387,0.0142269
267,-0.0046414,0.0009081,0.0018162,0.0164467
268,-0.0032288,0.0009081,-0.0029261,0.0079711
269,-0.0042378,-0.0011099,-0.0089801,0.0058522
270,-0.0057513,-0.0045405,-0.0102918,0.0084756
271,-0.0053477,0.0024216,-0.0072648,0.0109981
272,-0.0033297,0.0041369,-0.0065585,0.0114017
273,-0.0068612,0.0103927,-0.0102918,0.0096864
274,-0.0098882,0.0125116,-0.0103927,0.0101909
275,-0.0099891,0.0107963,-0.0068612,0.0109981
276,-0.008072,0.0023207,-0.0076684,0.0152359
277,-0.0072648,0.0005045,-0.0036324,0.012108
278,-0.0074666,-0.0017153,-0.0034306,0.0145296
279,-0.0088792,-0.0045405,-0.0064576,0.018162
280,-0.0123097,-0.0045405,-0.0058522,0.0179602
281,-0.0045405,0.0016144,-0.0035315,0.0195746
282,-0.001009,0.0041369,-0.0028252,0.014126
283,-0.0045405,0.0076684,-0.0083747,0.0107963
284,-0.0107962,0.0033297,-0.0109981,0.0061549
285,-0.0091819,0.0082738,-0.0103927,0.0126125
286,-0.0053477,0.0036324,-0.0116035,0.0077693
287,-0.0016144,-0.0022198,-0.009081,0.0055495
288,-0.0068612,-0.0038342,-0.0068612,0.0041369
289,-0.0101909,0.0014126,-0.0047423,0.0034306
290,-0.0087783,0.0031279,-0.0088792,0.0062558
291,-0.0064576,-0.003027,-0.0034306,0.0055495
292,-0.0063567,-0.0064576,-0.004036,0.0008072
293,-0.0057513,-0.0054486,-0.0031279,0.0044396
294,-0.0054486,-0.0038342,-0.0011099,0.006054
295,-0.0038342,-0.0008072,-0.0025225,0.0066594
296,-0.0044396,-0.0001009,-0.0048432,0.009081
297,-0.0047423,-0.0008072,-0.006054,0.0106954
298,-0.0119061,0.0002018,-0.0037333,0.0061549
299,-0.0097873,-0.0004036,-0.0016144,0.0089801
300,-0.0071639,0.0048432,-0.0063567,0.0111999
301,-0.0069621,0.0099891,-0.0139242,0.0092828
302,-0.0089801,0.0071639,-0.0162449,0.0039351
303,-0.0104936,0.007063,-0.0156395,0.006054
304,-0.0076684,0.0036324,-0.0078702,0.0021189
305,-0.013016,-0.0054486,-0.0084756,-0.0019171
306,-0.0136214,-0.0087783,-0.0068612,0.0011099
307,-0.0077693,-0.006054,-0.0088792,0.0024216
308,-0.0044396,-0.0085765,-0.0106954,0.0044396
309,-0.0071639,-0.0076684,-0.012108,0.0058522
310,-0.0043387,-0.0033297,-0.0081729,0.0074666
311,-0.0034306,-0.0069621,-0.0083747,0.0051459
312,-0.0018162,-0.0054486,-0.0077693,0.0075675
313,-0.0017153,-0.0067603,-0.0076684,0.0071639
314,-0.0058522,-0.0075675,-0.0073657,0.0117044
315,-0.0062558,-0.0057513,-0.007063,0.0138233
316,-0.0091819,-0.005045,-0.0055495,0.013117
317,-0.0099891,-0.004036,-0.0034306,0.0107963
318,-0.0065585,-0.0048432,-0.0037333,0.0098882
319,-0.0073657,-0.0019171,-0.006054,0.0104936
320,-0.0029261,-0.0033297,-0.0039351,0.011099
321,-0.0039351,-0.0031279,0.0024216,0.0065585
322,-0.0072648,-0.0111998,-0.0013117,0.0101909
323,-0.0101909,-0.0086774,-0.0033297,0.0129152
324,-0.0066594,-0.0064576,-0.0011099,0.0129152
325,-0.0047423,-0.0103926,0,0.0083747
326,-0.0017153,-0.0073657,0.0005045,0.0073657
327,0.0058522,-0.0075675,-0.0011099,0.0120071
328,0.003027,-0.0058522,-0.0016144,0.0135206
329,-0.0008072,-0.0004036,-0.0103927,0.0175566
330,-0.0027243,-0.0005045,-0.008072,0.0156395
331,-0.0021189,-0.0012108,-0.0102918,0.0120071
332,-0.0003027,0.0025225,-0.01907,0.0061549
