Time,HF Center 0.2m,HF Center 0.4m,HF Center 0.6m,HF Center 0.8m,HF Center 1.0m,HF Center 1.2m,HF Offset 0.2m,HF Offset 0.4m,HF Offset 0.6m,HF Offset 0.8m,HF Offset 1.0m,HF Offset 1.2m,HF Ring Stand,TC Plume 0.2m,TC Plume 0.4m,TC Plume 0.6m,TC Plume 0.8m,TC Plume 1.0m,TC Plume 1.2m,TC Plume 1.4m,TC Plume 1.6m,TC Plume 1.8m,TC Plume 2.0m,TC Plume 2.2m,TC Plume 2.4m,TC Surface 0.2m,TC Surface 0.4m,TC Surface 0.6m,TC Surface 0.8m,TC Surface 1.0m,TC Surface 1.2m,TC Surface 1.4m,TC Surface 1.6m,TC Surface 1.8m,TC Surface 2.0m,TC Surface 2.2m
33,42.0627019,54.9911652,39.662458,22.5703324,13.0705141,7.8995643,27.3084664,31.5451993,26.094667,15.865859,7.1673692,4.9363469,0,344.6882019,179.7034454,176.6069946,73.6411438,78.9355927,70.5032196,56.0664482,51.0983467,50.6281891,45.053833,45.5126495,38.4510994,208.5425262,210.8124084,200.1591644,141.6854248,98.2596207,73.9211502,58.3283043,51.0708771,47.6461678,38.2821808,32.7264595
34,36.6490642,40.7652593,30.7767182,18.1924105,13.056529,7.4642988,21.5577883,21.899201,15.7636123,9.6927692,6.3222793,3.7394268,0,368.5509338,182.8343353,184.8435516,76.5623779,86.4783707,74.7405319,59.9689331,53.7996254,50.3599358,46.3865204,48.2040176,40.2148819,210.5682526,214.5913391,205.0059662,147.7064362,100.5005188,75.4005814,58.6231499,51.7030373,48.4524155,38.823307,33.1395226
35,38.9094073,47.2068829,28.3271708,15.3323144,12.2612868,7.959776,34.0778117,27.6660649,23.3544326,12.6136538,6.7233948,5.1703992,0,374.3882446,186.2321472,193.2997742,78.7207642,89.3990784,79.8442078,64.292099,57.8708496,55.0991478,49.4092789,51.480526,42.5724258,211.6762695,216.3090973,204.6410065,150.6213989,102.0588379,76.1931534,58.5685806,51.5740204,47.9404373,39.0022697,33.4896774
36,41.5863664,44.3007652,25.8843879,10.8372465,8.0660233,5.4071823,41.5604759,34.1323834,22.3352269,11.5175821,5.0015146,3.5686875,0,374.4588013,190.0210724,194.7319794,80.0250092,87.5990067,78.1875839,63.8849487,56.9376106,54.3411865,49.0123825,51.8917198,42.3717842,216.9930878,219.7207794,204.5279236,150.3139801,101.2717133,76.5456696,59.5589447,52.6738968,48.6859741,39.4786911,33.8141251
37,43.9007415,53.4220239,36.7430796,20.60192,11.0527452,7.753466,24.1649708,31.4323764,22.5316787,15.4184528,8.640972,5.2507704,0,382.6047363,190.9045258,192.8256531,82.7462387,89.806427,80.8148346,65.8779144,59.2247391,55.1773338,49.9881783,52.4476128,43.1092186,221.4562073,225.2480469,208.4629364,152.9395752,102.087616,76.7724075,59.7485504,52.6781082,48.3986206,39.6738319,34.0770073
38,46.9590059,47.8259887,36.7344702,19.0431913,11.631217,8.3597477,33.8087727,32.9427008,21.5394912,14.9016581,8.5501822,6.0888367,0,381.1702881,189.6378174,186.7667999,83.3945999,90.1805954,80.4445114,67.8240433,63.5168839,58.5211563,51.2431488,54.6866035,45.5645638,225.0614929,229.5667877,214.0805817,159.4244995,107.8531876,79.6935654,62.0228882,54.3891754,49.8790665,40.1514893,34.2994003
39,53.6696513,51.445377,38.8963692,22.1249813,13.9940522,9.2288398,33.523092,36.5809434,27.0871801,16.1207213,10.9672729,6.4754595,0,383.4239502,194.3916168,192.1309357,84.9276123,92.3319244,86.0283432,75.6256866,68.6306229,61.7695427,52.8284721,54.7766342,46.080471,233.4189606,235.6709442,220.2225647,166.1457214,114.5597916,83.1012115,63.9131851,55.5032654,50.8281288,40.946434,34.733551
40,41.9269109,52.5461296,36.8983575,19.1351411,12.6017894,8.8907459,17.297541,17.8870717,16.4735732,10.6864027,7.9841401,4.4704636,0,379.7613831,196.468338,195.5049438,89.6009674,93.2803879,85.6940918,74.8046265,68.5788269,61.893074,54.5976944,56.1602898,48.4314842,236.0040436,241.3647919,225.7104645,168.5836945,116.6279907,84.4207077,64.8036804,55.8595467,50.8435745,41.3942528,35.1756744
41,31.0626663,34.4627182,31.6362814,18.294177,12.0008677,7.7109013,13.978048,13.3281858,9.6128961,5.7997912,4.8961003,2.9824458,0,388.3511353,196.8075867,202.5713806,92.996254,95.3083344,87.8969879,74.9034348,67.2086411,60.8913231,54.6863747,56.4671593,48.0351448,230.4971466,239.8449402,219.2667236,163.9453125,113.2574921,83.1864166,64.9125366,57.1401176,52.2477455,41.8525581,35.5317879
42,38.5200445,44.7153064,38.2580386,22.4433697,12.2755664,7.4895195,22.9027313,26.8772434,20.981223,11.7586324,5.7520951,4.1021683,0,392.5580139,195.1476135,198.532959,93.2561798,95.7634659,87.1472397,76.2535782,67.9322662,59.4100456,55.6848259,59.0292435,49.0423508,227.1924438,237.3812561,212.9894867,161.1720123,112.5082474,83.161171,64.9496841,56.9262238,52.5556297,42.1074829,35.9097595
43,42.4127259,42.251871,30.0416848,14.3794399,10.266851,6.1478987,40.6323291,32.575147,26.240826,12.6103652,6.3898223,3.8020259,0,389.0684814,195.1143799,192.721344,92.7092438,95.2851944,87.6751404,73.3678436,66.2035522,57.7110786,53.2922554,56.3485298,48.845871,233.397995,243.6519318,217.6888428,165.6743469,116.5447998,84.1812897,65.3917542,57.1696472,52.3371391,42.179287,36.134201
44,27.0533892,29.4538595,26.5091892,14.4175614,9.005681,5.9260625,13.4361877,12.2147349,10.0637425,6.151172,4.5478187,3.0701163,0,417.3349609,206.0918884,196.2803955,95.0548706,95.8728485,87.2419586,71.8771286,65.9942703,59.3116646,53.9150772,57.6172333,49.5857201,233.8812408,245.8076172,218.070694,163.4222565,114.9579926,83.6803131,65.5227432,57.8742485,53.21455,42.3815613,36.298687
45,20.6989294,19.9110243,17.3473312,10.9792615,8.2749179,5.0254634,12.0735943,9.8949479,6.8246474,5.8867731,4.4275263,2.2604537,0,458.8117371,218.7672119,198.4724274,97.7673569,97.1872406,87.1316147,70.0530853,64.7540512,59.3354607,55.2389565,59.0875816,51.0162773,226.7463074,239.4829102,210.9307251,159.2300262,112.9651718,82.653923,64.5874329,57.3966255,53.4364815,42.9012756,36.6874008
46,22.3632603,22.4483303,24.7746888,14.64989,9.2396754,6.3078571,11.2024323,9.5231721,6.7354547,5.9727685,5.157565,2.6325574,0,477.4015503,224.6272736,196.7898102,99.8070068,98.0798416,91.629097,70.9470444,64.6932144,59.357666,55.3939018,58.8156166,51.1120911,220.3928528,231.6970825,202.863739,156.5272522,112.8210678,82.4522476,64.0788956,56.7081032,52.644474,43.0701561,36.9970016
47,39.9317518,55.1562239,40.7354131,23.4499089,13.1818069,8.2640907,17.618522,24.849013,27.0061254,22.7816665,11.6842932,5.617717,0,471.4475098,224.1438751,216.6969452,105.0828857,100.0969315,92.9233856,72.0108337,66.4668503,62.5857201,57.5619888,59.6272087,50.4537659,219.3484192,231.8826294,203.7511139,159.100647,114.255806,82.7742538,63.6255341,55.8669319,51.4567566,42.9529419,37.1598129
48,31.3347225,35.8597652,26.2509052,14.3470448,10.9572779,7.4522564,15.3598043,13.7808844,11.9283259,8.6647704,7.0204485,4.3999305,0,469.3308716,221.137085,215.686264,104.5824738,99.770462,93.6384277,73.9171829,69.0930176,64.8378372,61.2267876,61.804287,53.7961502,222.9922791,242.2708588,216.6496887,167.2789764,122.508667,86.008194,64.9857178,56.2595825,51.0673485,42.7457428,37.2071533
49,19.9721028,20.1913539,14.2643729,7.6960656,6.086824,4.009667,11.6368787,10.3316964,6.9979873,4.5368259,3.5142172,2.1950778,0,494.4266357,234.0550079,217.2732849,104.5710144,98.4374771,91.8275299,71.1676178,66.1529617,61.754673,58.9239159,59.1331329,51.4946289,219.9286194,240.769455,212.8008118,161.5254059,118.6971893,84.84198,63.996418,55.4098854,50.2437668,42.696682,37.2617302
50,19.8664084,18.1787185,14.4268767,6.7809854,4.6053504,3.0025805,11.5166053,9.7650023,6.5665094,3.999149,2.6091925,1.6508068,0,523.8765259,249.5354462,222.0989685,107.7496033,99.3392487,92.8628464,72.6388321,67.8045654,63.4566917,60.4674225,60.0119743,51.8420944,215.4094696,234.3639832,204.5703735,154.9858704,113.6010818,82.6089783,62.7642212,54.6832008,49.3804131,42.5188446,37.2141838
51,22.5663548,21.6909535,14.7362025,6.4817395,4.0229776,2.687208,12.5035021,11.7496047,7.2391982,4.1736062,2.5945681,1.7660875,0,546.911499,271.8288879,228.6079559,108.5350418,101.4817123,94.1540833,73.7806396,69.3096619,63.3382263,59.6427078,58.0647545,52.1540718,212.486618,228.7023163,197.7736664,150.2745819,110.0624924,80.8914413,61.7219315,54.0897675,48.4729004,42.1289673,37.06427
52,24.8721985,23.9519888,15.8180745,7.257259,4.632732,3.0791515,13.60689,12.0988628,8.1150121,4.2867322,2.7996484,1.8887468,0,556.4248657,281.5545349,229.8674622,108.6644897,100.5741653,95.0353775,76.6462402,72.0103073,66.2164536,61.9420471,60.8670273,54.4835091,211.475708,225.2570648,193.1282959,146.8142395,107.4916077,79.5304871,61.060276,53.8220177,48.2187004,41.8414154,36.9024925
53,22.1822054,30.0275065,26.3946525,15.6376138,9.5876122,6.9278474,11.1124164,10.4053479,9.3777074,8.5667719,4.5377592,4.2153068,0,554.0137329,269.9025574,226.0453644,108.245697,100.2608185,95.4293213,78.3592377,71.6811981,65.5633316,61.3750229,60.9021416,54.8505287,210.4723206,223.2453156,192.9485931,147.0643768,107.9983978,79.6755066,61.497921,53.9951897,48.3221245,41.7772064,36.8458443
54,22.2099325,20.9611772,15.880032,7.9490093,6.6318785,4.3640445,10.9243161,8.987205,6.3427138,4.3044903,3.5249531,2.9566604,0,542.574585,261.725708,217.5279236,108.1484222,100.2163696,94.7543869,79.8205338,73.6430435,67.5227203,62.2945213,61.8476067,55.0612411,208.7479095,220.9480133,194.436203,147.7986908,109.4600067,80.6189957,62.3853683,54.3118668,48.6035919,41.9965935,36.9339104
55,16.8041152,15.972342,12.2036352,6.7615155,5.0832024,3.075516,9.9570866,8.3508469,5.8313205,4.2872254,2.7229757,1.8533613,0,529.8156738,253.4840546,210.1971436,107.2231827,99.1666565,93.6094208,78.5660553,72.5513153,67.03508,61.5897026,61.1165924,54.2373428,206.1350555,217.1165161,190.4843903,144.5740814,107.3272476,79.6300278,61.7519073,53.9712143,48.3347054,42.1009064,37.0431824
56,19.942243,24.1173184,23.141811,13.8954765,7.5721251,3.8473607,11.2218474,10.9652399,8.641542,6.8881347,3.8621607,2.2833829,0,532.027771,253.9519958,219.9983826,113.5084076,104.1046982,97.109108,76.3740616,70.8991241,64.9824524,60.9868851,61.2211685,54.1422997,203.5874176,213.7405548,187.7254791,142.9919586,105.5500107,78.2421799,60.4505272,53.1075859,47.4729767,41.9886551,37.0877571
57,31.0344652,34.5173771,30.0862696,15.236438,8.2400285,4.4187273,28.2817473,20.0494697,12.392844,9.7920832,5.7401757,3.7091983,0,524.147644,259.3352966,240.758194,122.1108246,114.7758255,106.566452,83.7160873,76.6426239,67.7789001,62.6864395,63.2441025,54.8549995,206.8933105,215.0070038,192.1271667,147.5318146,108.3406067,79.1390686,61.0604973,53.5289421,47.2214584,41.6864586,36.9737244
58,35.6207954,34.2283889,23.7583104,11.4856397,7.2492144,4.3534412,31.9847533,23.0483048,13.0448622,7.8903184,4.6812985,3.6016135,0,539.3414307,265.6248779,233.3603973,119.7126617,112.3894043,105.3664017,84.3428345,77.164238,69.0435181,64.2593613,65.9811554,57.0353279,218.3166351,222.4266205,198.97229,150.930191,110.5065308,80.0326538,61.6375465,54.0268593,47.3406105,41.5073357,36.8626137
