Time (s),HF Center 0.2m,HF Center 0.4m,HF Center 0.6m,HF Center 0.8m,HF Center 1.0m,HF Center 1.2m,HF Offset 0.2m,HF Offset 0.4m,HF Offset 0.6m,HF Offset 0.8m,HF Offset 1.0m,HF Offset 1.2m,HF Ring Stand,TC Plume 0.2m,TC Plume 0.4m,TC Plume 0.6m,TC Plume 0.8m,TC Plume 1.0m,TC Plume 1.2m,TC Plume 1.4m,TC Plume 1.6m,TC Plume 1.8m,TC Plume 2.0m,TC Plume 2.2m,TC Plume 2.4m,TC Surface Center 0.2m,TC Surface Center 0.4m,TC Surface Center 0.6m,TC Surface Center 0.8m,TC Surface Center 1.0m,TC Surface Center 1.2m,TC Surface Center 1.4m,TC Surface Center 1.6m,TC Surface Center 1.8m,TC Surface Center 2.0m,TC Surface Center 2.2m
33,35.6997108,36.483471,24.0296624,11.5818434,6.8191329,4.9516947,22.9844264,40.7169196,31.7002986,21.4379676,10.8507,6.8458176,0,584.4248047,496.1499329,402.7897949,160.9830475,155.9660645,121.9728241,114.0828934,85.6313705,74.6008835,68.058403,68.666832,57.830986,229.6795959,266.4890747,203.6033478,392.1730957,86.8935547,102.5775909,53.5922089,44.0723763,43.958046,40.4823723,36.4522705
34,43.6000102,34.7614475,20.9411693,10.4743558,6.6901747,5.1288456,35.5944659,49.5074817,35.2312232,19.4602374,11.5017835,6.9608603,0,581.4474487,487.0570068,384.2783508,159.8452148,152.4939728,123.6728745,116.2610626,88.9505844,77.0707321,70.6823959,71.3626328,60.7755699,239.0907898,275.4420471,211.4010925,396.1791077,89.5764694,105.1702118,54.5266151,44.8019753,45.0789185,40.9903679,36.697876
35,44.6496076,37.2689888,20.3772492,9.8716103,6.2815862,5.5344219,25.7141515,47.3532932,32.0289119,21.4544102,11.9118597,7.5632873,0,591.5949707,497.8462219,392.1692505,163.001709,155.0584717,126.4263306,111.1296616,86.6198578,76.3057022,69.9713669,69.0659561,60.0709152,251.8527527,290.2768555,219.7420654,399.0423889,92.0900116,107.5690765,55.1812935,45.2864685,45.0761261,41.4559097,37.0815315
36,51.5562375,45.9767887,25.0494231,12.0806955,6.8681547,5.4267984,20.7506711,44.6469532,28.6303116,14.741506,8.3460317,6.2807596,0,592.3845215,505.1135559,395.500061,165.9817047,162.4207611,130.6569061,112.8776245,86.5821228,75.523735,68.3943634,66.7668457,58.7876701,261.8608093,303.2507324,223.9835052,346.2418213,93.5007553,105.2818375,56.2664375,46.0051041,45.6978493,41.9066811,37.5688133
37,53.255642,53.2788827,32.2432489,17.2765122,9.6707138,6.9205766,19.5040647,36.0916536,26.5188207,18.3760045,11.0978784,6.8892164,0,602.3166504,511.0525818,407.9593506,169.7877655,164.5918579,132.0891113,115.0199738,89.5202942,77.0393219,69.981987,68.6787033,60.6573486,270.0042114,312.4371033,232.7217255,413.2489624,96.7909317,111.0737,57.6490288,46.7553864,46.1241035,42.3500061,37.9541206
38,56.40396,50.5692123,30.2563065,14.356207,9.5385905,7.3466778,17.1694512,28.6692731,21.5222387,14.8299678,8.8174798,6.4024668,0,615.0391846,523.0116577,420.5536804,174.0289154,172.2502289,134.9064789,118.6246567,97.5672607,81.5893631,73.294899,70.6606522,62.7044525,274.9295349,315.0487366,237.7696686,438.8711243,100.6309891,118.937973,59.0729256,47.5666466,46.8476601,42.9886284,38.2432632
39,46.4298233,37.7831066,21.3227533,10.9812249,7.0348729,5.1642909,16.8106484,22.0009995,20.0328181,13.4004379,8.0011316,6.2025305,0,620.8198242,536.1368408,428.5609436,181.4263611,174.5332336,138.2708893,121.2709274,99.0327225,84.2909698,77.4351425,76.0284576,65.7605896,277.9902039,311.5213623,235.8262482,384.9411316,100.8711166,115.4567795,59.7087708,48.3107185,47.7895889,43.7910614,38.6699677
40,42.8013778,41.0961888,24.148965,12.5049407,7.1800981,4.7162256,16.8194736,22.3873179,20.0590224,13.1070998,7.9693466,6.208005,0,625.8828735,551.9961548,445.9031372,184.7663574,171.8164062,136.6947632,119.538414,98.3150024,83.4475784,77.3793716,77.0724792,66.2042694,282.1637878,314.6459351,233.7073975,356.0886841,100.8574295,112.1882095,59.9669647,48.9014359,48.6045685,44.3425865,39.2328987
41,53.3620473,45.4556359,27.2177792,14.4136347,8.3849593,5.9646131,15.6500236,19.7440742,17.704693,12.7042532,8.4699591,6.7278393,0,627.8653564,543.7615356,462.4122009,193.2553406,176.0326691,140.2503204,123.7369919,98.9148331,84.3182983,78.8045654,78.4814301,68.5833054,286.5294189,320.1004639,234.880722,377.7452393,103.4159012,117.5356903,61.2920341,49.6030807,49.284668,44.8829384,39.6134453
42,48.1064775,52.4227418,26.4149463,12.3351117,7.9994096,6.0723123,14.9132549,19.7682337,16.3116266,10.2638249,6.6651506,5.6182723,0,644.5355835,571.4171753,491.4202576,199.9158936,182.2877197,142.5584259,123.1407166,101.0353088,88.3928146,79.3833389,79.2123566,68.4450836,290.292572,323.7026062,234.1236725,384.3696594,105.6810303,122.3138123,62.065464,50.2351418,49.6042366,45.4600525,40.0515251
