s,kW,kW
Time,"Basement_HRR","First_Floor_HRR"
 9.6002198E+001, 9.5258026E+002, 5.0598507E+000
 9.6301211E+001, 9.5521594E+002, 2.2790722E+001
 9.6603198E+001, 9.2175287E+002, 7.5588020E+001
 9.6903246E+001, 9.9350555E+002, 9.4129898E+001
 9.7203615E+001, 1.0547271E+003, 8.5313187E+001
 9.7503642E+001, 1.0646724E+003, 9.1301208E+001
 9.7802324E+001, 1.0564788E+003, 7.6319862E+001
 9.8101565E+001, 1.0023552E+003, 8.0621376E+001
 9.8404649E+001, 9.5829559E+002, 7.1450966E+001
 9.8703439E+001, 9.5630988E+002, 7.5840675E+001
 9.9000248E+001, 1.0466937E+003, 3.0144548E+001
 9.9302897E+001, 9.8483337E+002, 3.4009949E+001
 9.9603408E+001, 8.9734021E+002, 1.4483232E+001
 9.9902469E+001, 8.5481744E+002, 6.9311241E+001
 1.0020375E+002, 7.7015497E+002, 2.7841266E+002
 1.0050053E+002, 8.3744769E+002, 4.6907648E+002
 1.0080506E+002, 8.8347540E+002, 4.1746207E+002
 1.0110494E+002, 9.1288361E+002, 4.2961465E+002
 1.0140546E+002, 9.7971350E+002, 5.1480035E+002
 1.0170571E+002, 1.0973450E+003, 5.4292340E+002
 1.0200326E+002, 1.0634825E+003, 5.6065112E+002
 1.0230103E+002, 9.5581567E+002, 5.3490979E+002
 1.0260423E+002, 9.1825555E+002, 4.7564148E+002
 1.0290123E+002, 1.1239579E+003, 5.7280334E+002
 1.0320431E+002, 1.2941746E+003, 6.4474445E+002
 1.0350247E+002, 1.3255365E+003, 5.8077277E+002
 1.0380526E+002, 1.3900944E+003, 5.9089563E+002
 1.0410288E+002, 1.2909565E+003, 5.5042651E+002
 1.0440136E+002, 1.4117682E+003, 4.9860297E+002
 1.0470352E+002, 1.5495824E+003, 5.7509650E+002
 1.0500431E+002, 1.5750334E+003, 6.3234747E+002
 1.0530221E+002, 1.6052290E+003, 4.9422565E+002
 1.0560510E+002, 1.6842401E+003, 4.5300229E+002
 1.0590485E+002, 1.7771610E+003, 4.4445560E+002
 1.0620356E+002, 1.6150101E+003, 5.3146399E+002
 1.0650111E+002, 1.8492090E+003, 4.6835437E+002
 1.0680293E+002, 2.0407668E+003, 5.2440247E+002
 1.0710244E+002, 2.0106744E+003, 5.6047778E+002
 1.0740145E+002, 1.9743181E+003, 4.9557230E+002
 1.0770173E+002, 1.9585187E+003, 4.9240875E+002
 1.0800288E+002, 2.0441260E+003, 5.6942456E+002
 1.0830109E+002, 2.1983699E+003, 6.0328693E+002
 1.0860145E+002, 2.0193165E+003, 5.9428400E+002
 1.0890027E+002, 1.9379427E+003, 4.8009467E+002
 1.0920174E+002, 2.0611912E+003, 5.2644537E+002
 1.0950269E+002, 2.1476362E+003, 6.8201324E+002
 1.0980045E+002, 2.0608870E+003, 6.5959204E+002
 1.1010337E+002, 2.0967266E+003, 5.7658899E+002
 1.1040067E+002, 2.1658472E+003, 7.5702979E+002
 1.1070085E+002, 2.3404360E+003, 7.1592847E+002
 1.1100293E+002, 2.4135310E+003, 5.4443939E+002
