Time (s),HF Center 0.2m,HF Center 0.4m,HF Center 0.6m,HF Center 0.8m,HF Center 1.0m,HF Center 1.2m,HF Offset 0.2m,HF Offset 0.4m,HF Offset 0.6m,HF Offset 0.8m,HF Offset 1.0m,HF Offset 1.2m,HF Ring Stand,TC Plume 0.2m,TC Plume 0.4m,TC Plume 0.6m,TC Plume 0.8m,TC Plume 1.0m,TC Plume 1.2m,TC Plume 1.4m,TC Plume 1.6m,TC Plume 1.8m,TC Plume 2.0m,TC Plume 2.2m,TC Plume 2.4m,TC Surface Center 0.2m,TC Surface Center 0.4m,TC Surface Center 0.6m,TC Surface Center 0.8m,TC Surface Center 1.0m,TC Surface Center 1.2m,TC Surface Center 1.4m,TC Surface Center 1.6m,TC Surface Center 1.8m,TC Surface Center 2.0m,TC Surface Center 2.2m
31,1.3220215,0.7244244,0.4872251,0.3592262,0.3352294,0.3215354,1.3067373,0.7593496,0.5113336,0.4110189,0.3673415,0.3629633,0,28.2038136,25.7298927,21.668642,20.332653,21.0275707,20.6646328,19.5825329,18.5711212,18.3152866,17.6359901,17.1421432,17.0047092,33.0141258,28.1416779,26.911871,26.5987892,26.8466167,26.7070866,3316.499023,23.8786201,22.6025162,21.7302952,20.8909721
32,1.4066244,0.8039773,0.488455,0.4843891,0.3624637,0.3213082,1.396501,0.7605224,0.5290744,0.6574953,0.5144313,0.3940645,0,28.4638786,26.2370148,21.4968891,20.4295502,21.018177,20.6616917,19.5985775,18.5727329,18.3393536,17.6539593,17.1605091,17.022686,33.5891724,28.3467827,27.1176243,26.6120968,26.8889771,26.7060452,3316.497315,23.9112453,22.6253242,21.7440319,20.9035835
33,1.4914643,0.8129067,0.4942972,0.3924393,0.411191,0.3556174,1.4577723,0.8369886,0.8070692,0.7533563,0.541905,0.4200086,0,28.7410793,25.2892208,21.3253651,20.4219246,20.9756432,20.6309166,19.5674,18.5525551,18.3377991,17.6607723,17.1738014,17.0275955,34.1626549,28.5618954,27.663063,26.7853584,27.0391407,26.7301636,3316.493164,23.9059124,22.609766,21.7364159,20.8997536
34,1.6812875,1.0318126,0.7009244,0.4569023,0.3972058,0.3472863,1.5679598,1.3720173,1.1104547,0.7864062,0.4859432,0.3559814,0,29.1955738,25.1315556,21.269207,20.3930721,20.9737453,20.5804386,19.5203018,18.5662365,18.3290462,17.6801701,17.1833172,17.0420532,34.8687439,28.8481865,27.9764118,26.8589764,27.0825348,26.7614803,3316.493164,23.9187756,22.6328602,21.7337627,20.8933048
35,1.8490714,1.0071891,0.735516,0.7160633,0.4558701,0.3875788,1.6572193,1.630032,1.0601617,1.0989823,0.7109737,0.5337025,0,30.1088009,25.2127857,21.2953243,20.3649158,20.9782333,20.5530472,19.5145397,18.5258827,18.3244171,17.6705971,17.1824932,17.032856,35.6326485,29.4844723,28.4569359,27.1812477,27.3065853,26.853857,3316.492188,23.9682674,22.671032,21.7503757,20.8924828
36,1.8990748,0.9828361,0.7785634,0.5112214,0.4473317,0.422494,1.9295362,1.3813997,1.2540093,0.9120286,0.64901,0.5603607,0,33.342804,24.9643612,21.4178848,20.355814,20.9972134,20.5667171,19.5301189,18.5585766,18.3502979,17.6892414,17.1912556,17.0317211,36.8851891,30.1208153,28.9207401,27.4242611,27.4944477,27.0017567,3316.493164,24.0151787,22.7073822,21.7727432,20.900835
37,1.9313045,1.0956714,0.6292813,0.4266342,0.5288875,0.4735413,1.9789567,1.3710791,1.2831435,1.0210438,0.7679498,0.6611223,0,33.051609,24.9517136,21.4351692,20.3841171,21.0217113,20.5418797,19.5865421,18.5853939,18.3737221,17.7195034,17.200985,17.0368805,37.6598969,30.5302505,29.3510361,27.8073597,27.7861862,27.1758614,3316.492432,24.0895252,22.7677841,21.8047924,20.9234276
38,2.2251633,1.7605067,1.1192523,0.6794142,0.5587716,0.4456698,2.1367997,1.7186953,1.1688856,0.9442563,0.633033,0.4864954,0,33.0913582,26.2597923,21.5561848,20.386385,21.0945587,20.598423,19.6116009,18.6192093,18.3855095,17.723299,17.2234402,17.0490475,38.4614487,31.1355095,29.8170662,28.1079063,27.9189053,27.2890053,3316.491455,24.1579742,22.8438606,21.8335896,20.9499702
39,2.7761486,1.5884126,0.9956449,0.7816716,0.6359846,0.5494306,2.16857,1.9656858,1.5080784,1.0475166,0.7709931,0.5782915,0,33.982914,26.789587,21.5918274,20.4095287,21.1875038,20.6264935,19.9958668,18.6689816,18.4018536,17.735075,17.224947,17.0661545,39.4346352,31.8196678,30.5879421,28.3763199,28.1801491,27.375351,3316.495606,24.1719551,22.8605042,21.8650303,20.9916821
40,3.8634262,2.1019891,1.415664,0.8610232,0.8113884,0.7064353,2.097465,1.3267475,1.5619521,1.0415972,0.9042192,0.7720393,0,33.9966583,26.4537811,21.6360836,20.4788666,21.2389736,20.7083378,20.0348454,18.6988754,18.4272213,17.7745056,17.2560349,17.0698318,40.6690102,32.6631584,31.5216045,28.8992844,28.7117577,27.5852585,3316.493652,24.2327156,22.9330502,21.8944626,21.0021763
