Panel,Channel,Device Name,Type,X,Y,Z,Serial Number,Calibration Slope,Calibration Intercept,Test Specific Name
SC1Mod7,26,TC_A4_3,TC,,,0.61 m BS,,,,TC 4 0.61 m BS
SC1Mod7,27,TC_A4_4,TC,,,0.88 m BS,,,,TC 4 0.88 m BS
SC1Mod7,28,TC_A4_5,TC,,,1.15 m BS,,,,TC 4 1.15 m BS
SC1Mod7,29,TC_A4_6,TC,,,1.42 m BS,,,,TC 4 1.42 m BS
SC1Mod7,30,TC_A4_7,TC,,,1.68 m BS,,,,TC 4 1.68 m BS
SC1Mod7,31,TC_A4_8,TC,,,1.95 m BS,,,,TC 4 1.95 m BS
SC1Mod8,0,TC_A5_1,TC,,,0.08 m BS,,,,TC 5 0.08 m BS
SC1Mod8,1,TC_A5_2,TC,,,0.34 m BS,,,,TC 5 0.34 m BS
SC1Mod8,2,TC_A5_3,TC,,,0.61 m BS,,,,TC 5 0.61 m BS
SC1Mod8,3,TC_A5_4,TC,,,0.88 m BS,,,,TC 5 0.88 m BS
SC1Mod8,4,TC_A5_5,TC,,,1.15 m BS,,,,TC 5 1.15 m BS
SC1Mod8,5,TC_A5_6,TC,,,1.42 m BS,,,,TC 5 1.42 m BS
SC1Mod8,6,TC_A5_7,TC,,,1.68 m BS,,,,TC 5 1.68 m BS
SC1Mod8,7,TC_A5_8,TC,,,1.95 m BS,,,,TC 5 1.95 m BS
SC1Mod8,8,TC_A6_1,TC,,,0.08 m BS,,,,TC 6 0.08 m BS
SC1Mod8,9,TC_A6_2,TC,,,0.34 m BS,,,,TC 6 0.34 m BS
SC1Mod8,10,TC_A6_3,TC,,,0.61 m BS,,,,TC 6 0.61 m BS
SC1Mod8,11,TC_A6_4,TC,,,0.88 m BS,,,,TC 6 0.88 m BS
SC1Mod8,12,TC_A6_5,TC,,,1.15 m BS,,,,TC 6 1.15 m BS
SC1Mod8,13,TC_A6_6,TC,,,1.42 m BS,,,,TC 6 1.42 m BS
SC1Mod8,14,TC_A6_7,TC,,,1.68 m BS,,,,TC 6 1.68 m BS
SC1Mod8,15,TC_A6_8,TC,,,1.95 m BS,,,,TC 6 1.95 m BS
SC1Mod8,16,TC_A7_1,TC,,,0.03 m BC,,,,TC 7 0.03 m BC
SC1Mod8,17,TC_A7_2,TC,,,0.30 m BC,,,,TC 7 0.30 m BC
SC1Mod8,18,TC_A7_3,TC,,,0.61 m BC,,,,TC 7 0.61 m BC
SC1Mod8,19,TC_A7_4,TC,,,0.91 m BC,,,,TC 7 0.91 m BC
SC1Mod8,20,TC_A7_5,TC,,,1.22 m BC,,,,TC 7 1.22 m BC
SC1Mod8,21,TC_A7_6,TC,,,1.52 m BC,,,,TC 7 1.52 m BC
SC1Mod8,22,TC_A7_7,TC,,,1.83 m BC,,,,TC 7 1.83 m BC
SC1Mod8,23,TC_A7_8,TC,,,2.13 m BC,,,,TC 7 2.13 m BC
SC1Mod8,24,TC_A8_1,TC,,,0.03 m BC,,,,TC 8 0.03 m BC
SC1Mod8,25,TC_A8_2,TC,,,0.30 m BC,,,,TC 8 0.30 m BC
SC1Mod8,26,TC_A8_3,TC,,,0.61 m BC,,,,TC 8 0.61 m BC
SC1Mod8,27,TC_A8_4,TC,,,0.91 m BC,,,,TC 8 0.91 m BC
SC1Mod8,28,TC_A8_5,TC,,,1.22 m BC,,,,TC 8 1.22 m BC
SC1Mod8,29,TC_A8_6,TC,,,1.52 m BC,,,,TC 8 1.52 m BC
SC1Mod8,30,TC_A8_7,TC,,,1.83 m BC,,,,TC 8 1.83 m BC
SC1Mod8,31,TC_A8_8,TC,,,2.13 m BC,,,,TC 8 2.13 m BC
SC1Mod9,0,TC_A9_1,TC,,,0.08 m BS,,,,TC 9 0.08 m BS
SC1Mod9,1,TC_A9_2,TC,,,0.34 m BS,,,,TC 9 0.34 m BS
SC1Mod9,2,TC_A9_3,TC,,,0.61 m BS,,,,TC 9 0.61 m BS
SC1Mod9,3,TC_A9_4,TC,,,0.88 m BS,,,,TC 9 0.88 m BS
SC1Mod9,4,TC_A9_5,TC,,,1.15 m BS,,,,TC 9 1.15 m BS
SC1Mod9,5,TC_A9_6,TC,,,1.42 m BS,,,,TC 9 1.42 m BS
SC1Mod9,6,TC_A9_7,TC,,,1.68 m BS,,,,TC 9 1.68 m BS
SC1Mod9,7,TC_A9_8,TC,,,1.95 m BS,,,,TC 9 1.95 m BS
SC1Mod9,8,TC_A10_1,TC,,,,,,,
SC1Mod9,9,TC_A10_2,TC,,,,,,,
SC1Mod9,10,TC_A10_3,TC,,,,,,,
SC1Mod9,11,TC_A10_4,TC,,,,,,,
SC1Mod9,12,TC_A10_5,TC,,,,,,,
SC1Mod9,13,TC_A10_6,TC,,,,,,,
SC1Mod9,14,TC_A10_7,TC,,,,,,,
SC1Mod9,15,TC_A10_8,TC,,,,,,,
SC1Mod9,16,TC_A11_1,TC,,,,,,,
SC1Mod9,17,TC_A11_2,TC,,,,,,,
SC1Mod9,18,TC_A11_3,TC,,,,,,,
SC1Mod9,19,TC_A11_4,TC,,,,,,,
SC1Mod9,20,TC_A11_5,TC,,,,,,,
SC1Mod9,21,TC_A11_6,TC,,,,,,,
SC1Mod9,22,TC_A11_7,TC,,,,,,,
SC1Mod9,23,TC_A11_8,TC,,,,,,,
SC1Mod9,24,TC_A12_1,TC,,,,,,,
SC1Mod9,25,TC_A12_2,TC,,,,,,,
SC1Mod9,26,TC_A12_3,TC,,,,,,,
SC1Mod9,27,TC_A12_4,TC,,,,,,,
SC1Mod9,28,TC_A12_5,TC,,,,,,,
SC1Mod9,29,TC_A12_6,TC,,,,,,,
SC1Mod9,30,TC_A12_7,TC,,,,,,,
SC1Mod9,31,TC_A12_8,TC,,,,,,,
SC1Mod10,0,BDP_A4_1,Voltage,,,0.08 m BS,,99.52,-248.8,
SC1Mod10,1,BDP_A4_2,Voltage,,,0.34 m BS,,99.52,-248.8,
SC1Mod10,2,BDP_A4_3,Voltage,,,0.61 m BS,,99.52,-248.8,
SC1Mod10,3,BDP_A4_4,Voltage,,,0.88 m BS,,99.52,-248.8,
SC1Mod10,4,BDP_A4_5,Voltage,,,1.15 m BS,,99.52,-248.8,
SC1Mod10,5,BDP_A4_6,Voltage,,,1.42 m BS,,99.52,-248.8,
SC1Mod10,6,BDP_A4_7,Voltage,,,1.68 m BS,,99.52,-248.8,
SC1Mod10,7,BDP_A4_8,Voltage,,,1.95 m BS,,99.52,-248.8,
SC1Mod10,8,BDP_A5_1,Voltage,,,0.08 m BS,,99.52,-248.8,
SC1Mod10,9,BDP_A5_2,Voltage,,,0.34 m BS,,99.52,-248.8,
SC1Mod10,10,BDP_A5_3,Voltage,,,0.61 m BS,,99.52,-248.8,
SC1Mod10,11,BDP_A5_4,Voltage,,,0.88 m BS,,99.52,-248.8,
SC1Mod10,12,BDP_A5_5,Voltage,,,1.15 m BS,,99.52,-248.8,
SC1Mod10,13,BDP_A5_6,Voltage,,,1.42 m BS,,99.52,-248.8,
SC1Mod10,14,BDP_A5_7,Voltage,,,1.68 m BS,,99.52,-248.8,
SC1Mod10,15,BDP_A5_8,Voltage,,,1.95 m BS,,99.52,-248.8,
SC1Mod10,16,BDP_A6_1,Voltage,,,0.08 m BS,,99.52,-248.8,
SC1Mod10,17,BDP_A6_2,Voltage,,,0.34 m BS,,99.52,-248.8,
SC1Mod10,18,BDP_A6_3,Voltage,,,0.61 m BS,,99.52,-248.8,
SC1Mod10,19,BDP_A6_4,Voltage,,,0.88 m BS,,99.52,-248.8,
SC1Mod10,20,BDP_A6_5,Voltage,,,1.15 m BS,,99.52,-248.8,
SC1Mod10,21,BDP_A6_6,Voltage,,,1.42 m BS,,99.52,-248.8,
SC1Mod10,22,BDP_A6_7,Voltage,,,1.68 m BS,,99.52,-248.8,
SC1Mod10,23,BDP_A6_8,Voltage,,,1.95 m BS,,99.52,-248.8,
SC1Mod10,24,BDP_A9_1,Voltage,,,0.08 m BS,,99.52,-248.8,
SC1Mod10,25,BDP_A9_2,Voltage,,,0.34 m BS,,99.52,-248.8,
SC1Mod10,26,BDP_A9_3,Voltage,,,0.61 m BS,,99.52,-248.8,
SC1Mod10,27,BDP_A9_4,Voltage,,,0.88 m BS,,99.52,-248.8,
SC1Mod10,28,BDP_A9_5,Voltage,,,1.15 m BS,,99.52,-248.8,
SC1Mod10,29,BDP_A9_6,Voltage,,,1.42 m BS,,99.52,-248.8,
SC1Mod10,30,BDP_A9_7,Voltage,,,1.68 m BS,,99.52,-248.8,
SC1Mod10,31,BDP_A9_8,Voltage,,,1.95 m BS,,99.52,-248.8,
SC1Mod11,0,BDP_A10_1,Voltage,,,,,99.52,-248.8,
SC1Mod11,1,BDP_A10_2,Voltage,,,,,99.52,-248.8,
SC1Mod11,2,BDP_A10_3,Voltage,,,,,99.52,-248.8,
SC1Mod11,3,BDP_A10_4,Voltage,,,,,99.52,-248.8,
SC1Mod11,4,BDP_A10_5,Voltage,,,,,99.52,-248.8,
SC1Mod11,5,BDP_A10_6,Voltage,,,,,99.52,-248.8,
SC1Mod11,6,BDP_A10_7,Voltage,,,,,99.52,-248.8,
SC1Mod11,7,BDP_A10_8,Voltage,,,,,99.52,-248.8,
SC1Mod11,8,HF_1_V,Voltage,,,0.3 m AF,,,0,Heat Flux 1 V
