Time,TC1_BED1_0-03mBC,TC1_BED1_0-30mBC,TC1_BED1_0-61mBC,TC1_BED1_0-91mBC,TC1_BED1_1-22mBC,TC1_BED1_1-52mBC,TC1_BED1_1-83mBC,TC1_BED1_2-13mBC,TC2_BED2_0-03mBC,TC2_BED2_0-30mBC,TC2_BED2_0-61mBC,TC2_BED2_0-91mBC,TC2_BED2_1-22mBC,TC2_BED2_1-52mBC,TC2_BED2_1-83mBC,TC2_BED2_2-13mBC,TC3_BED3_0-03mBC,TC3_BED3_0-30mBC,TC3_BED3_0-61mBC,TC3_BED3_0-91mBC,TC3_BED3_1-22mBC,TC3_BED3_1-52mBC,TC3_BED3_1-83mBC,TC3_BED3_2-13mBC,TC4_BED4_0-03mBC,TC4_BED4_0-30mBC,TC4_BED4_0-61mBC,TC4_BED4_0-91mBC,TC4_BED4_1-22mBC,TC4_BED4_1-52mBC,TC4_BED4_1-83mBC,TC4_BED4_2-13mBC,TC_DataRoom,EVENT,,,,,,,,,,,,,,
44,17.43228,16.202521,15.829235,14.521083,14.188818,14.072731,14.078069,13.585673,25.203913,24.106854,23.156136,22.173567,20.495377,20.018736,19.02968,13.848912,107.762468,98.598716,72.145578,48.236775,35.024504,25.080516,20.511525,22.278159,56.054371,31.742227,28.18116,25.60193,23.538087,21.801584,20.610115,19.142156,8.975755,0.000692,,,,,,,,,,,,,,
45,17.350594,16.120774,15.861729,14.515484,14.183217,13.990843,14.072468,13.541925,25.160576,24.101298,23.226285,22.092189,20.489803,20.051136,18.910089,13.957713,107.794072,100.954758,73.49745,51.375744,35.992448,25.60416,20.847601,22.537822,57.854338,32.599692,28.627852,25.558612,23.494672,21.796017,20.680442,19.174554,8.975755,0.00054,,,,,,,,,,,,,,
46,17.280081,16.088289,15.829235,14.406694,14.265088,13.996445,13.96365,13.433087,25.241698,24.069021,23.269698,22.021938,20.495377,20.094688,18.80165,13.925182,109.096601,102.252736,75.446881,52.895562,36.559144,26.063096,21.4603,22.694916,59.589977,34.179267,29.273706,25.564161,23.500231,21.687874,20.610115,19.218112,8.937514,0.00054,,,,,,,,,,,,,,
47,17.268904,16.11518,15.856134,14.509884,14.253886,14.023385,13.990587,13.231126,25.268381,24.057908,23.258577,22.048714,20.484229,20.121511,18.828494,13.990244,114.394984,103.572225,77.600259,54.54527,37.183847,26.354159,22.169715,22.873175,59.17434,35.440818,30.09073,25.930695,23.451255,21.638831,20.523062,19.206952,8.964531,0.000387,,,,,,,,,,,,,,
48,17.230851,16.077102,15.779956,14.471755,14.330152,13.947096,13.990587,13.269278,25.343945,24.020072,23.296429,22.048714,20.560094,20.083536,18.790486,13.952111,118.266446,104.71852,81.452531,56.830625,37.071694,26.844979,22.814033,23.138262,59.836752,36.076535,30.730168,26.27045,23.375537,21.525104,20.447151,19.206952,8.899273,0.000387,,,,,,,,,,,,,,
49,17.154742,16.039022,15.779956,14.548012,14.444543,13.947096,13.990587,13.231126,25.381725,24.057908,23.220724,21.972894,20.522162,20.159485,18.790486,13.952111,120.466642,106.716928,83.250932,59.039759,37.445494,27.260113,23.723027,23.516847,61.308128,38.093422,31.181302,26.798744,23.413397,21.487193,20.447151,19.244928,8.931903,0.000387,,,,,,,,,,,,,,
50,17.122275,16.082695,15.785551,14.477355,14.412014,13.914553,13.958048,13.198577,25.387275,23.949955,23.226285,22.054281,20.565668,20.127087,18.834076,13.91958,123.011462,109.019486,84.724851,58.750744,37.93673,27.529743,24.750304,23.900861,60.761865,40.000385,31.750466,27.181478,23.381097,21.45485,20.528636,19.174554,8.893661,0.00054,,,,,,,,,,,,,,
51,17.116685,16.039022,15.779956,14.509884,14.444543,13.908951,13.952446,13.231126,25.457281,23.982236,23.220724,22.086623,20.598025,20.121511,18.828494,13.837708,122.781762,110.980003,86.408858,59.444523,37.221229,28.165296,25.841091,24.424923,63.256449,40.702496,32.496012,27.515297,23.526968,21.487193,20.598968,19.244928,8.937514,0.000387,,,,,,,,,,,,,,
52,17.149152,16.071508,15.698179,14.542412,14.362682,13.903348,14.023125,13.301825,25.451731,23.901001,23.215163,22.081056,20.66831,20.153909,18.822912,13.832105,127.153619,114.132057,88.755159,62.270601,38.261925,28.762791,26.817527,24.948735,64.243107,40.548094,32.903359,27.585157,23.597117,21.44371,20.631345,19.201371,9.013994,0.00054,,,,,,,,,,,,,,
53,17.242028,16.164445,15.676873,14.521083,14.417614,13.9583,14.116207,13.356789,25.506155,23.917673,23.269698,22.135662,20.68503,20.208608,18.91567,13.810776,132.38488,115.896829,91.492597,62.764537,39.136996,29.495028,27.551176,25.418921,65.691738,40.787896,33.782611,27.677164,23.651646,21.612061,20.837801,19.294063,8.937514,0.000234,,,,,,,,,,,,,,
54,17.274492,16.082695,15.70937,14.667989,14.29762,13.914553,13.996189,13.427484,25.576154,24.139131,23.30199,22.205905,20.75531,20.16506,18.948093,13.957713,135.312228,114.700783,93.253685,62.575402,39.877617,30.242285,27.734248,25.79117,65.686346,43.311178,34.601668,27.822396,23.835327,21.720211,20.908114,19.440372,9.019605,0.000692,,,,,,,,,,,,,,
55,17.306955,16.153258,15.665682,14.509884,14.292019,13.870804,14.028727,13.536321,25.646148,24.284892,23.296429,22.351944,20.863508,20.197457,19.018518,13.875843,138.809568,117.338019,94.868594,63.782472,40.207728,30.575341,28.181241,26.238808,65.130078,45.458468,35.345223,27.854548,23.867613,21.752546,21.016362,19.51073,9.07925,0.00054,,,,,,,,,,,,,,
56,17.301367,16.185741,15.660086,14.618665,14.248285,13.865202,14.061264,13.492571,26.093747,24.544094,23.290868,22.384277,20.933777,20.343759,19.050938,13.870241,141.746755,118.450398,97.111288,66.567771,39.381751,30.945892,28.4019,26.497534,66.483374,46.787392,36.27532,27.999755,23.975581,21.898582,21.162534,19.543118,9.123099,0.000387,,,,,,,,,,,,,,
57,17.339417,16.185741,15.545802,14.65679,14.172015,13.865202,14.099402,13.492571,26.546704,24.922208,23.404417,22.46007,21.009614,20.305792,19.202932,13.870241,149.273134,117.332547,98.586639,69.540071,40.351373,31.35942,28.665732,26.497534,68.135251,48.749476,37.0606,28.263506,24.089095,22.125949,21.200467,19.694974,9.193962,0.00054,,,,,,,,,,,,,,
58,17.339417,16.223817,15.507706,14.618665,14.248285,13.827054,14.061264,13.568863,27.301205,25.224604,23.366569,22.573749,21.161272,20.381726,19.202932,13.946509,149.04584,121.696297,99.804546,71.484135,41.878743,31.847926,28.741101,26.497534,70.923971,50.819678,38.25614,29.016718,24.202597,22.391154,21.352185,19.808854,9.237809,0.000387,,,,,,,,,,,,,,
