Time (s),Mass_Loss_1,Mass_Loss_2,Mass_Loss_3,Mass_Loss_4,Mass_Loss_5
395,,,,,0.3468277
396,,,,,0.3468738
397,,,,,0.3468162
398,,,,,0.3472661
399,,,,,0.3472777
400,,,,,0.3468738
401,,,,,0.3467238
402,,,,,0.3485007
403,,,,,0.3480623
404,,,,,0.3474046
405,,,,,0.3480507
406,,,,,0.3478315
407,,,,,0.3461931
408,,,,,0.3479815
409,,,,,0.3480623
410,,,,,0.3480392
411,,,,,0.3479469
412,,,,,0.34812
413,,,,,0.3480277
414,,,,,0.3482007
415,,,,,0.3480623
416,,,,,0.3482584
417,,,,,0.3487661
418,,,,,0.3486046
419,,,,,0.3497353
420,,,,,0.34707
421,,,,,0.3464585
422,,,,,0.3468277
423,,,,,0.3469777
424,,,,,0.34692
425,,,,,0.3470008
426,,,,,0.3468508
427,,,,,0.3468623
428,,,,,0.3466777
429,,,,,0.3471277
430,,,,,0.3468854
431,,,,,0.3473584
432,,,,,0.3472661
433,,,,,0.3473354
434,,,,,0.3471854
435,,,,,0.3469777
436,,,,,0.3471161
437,,,,,0.3470123
438,,,,,0.3470123
439,,,,,0.3472315
440,,,,,0.3475777
441,,,,,0.3473584
442,,,,,0.349343
443,,,,,0.3495161
444,,,,,0.3496776
445,,,,,0.3494007
446,,,,,0.3497584
447,,,,,0.348893
448,,,,,0.3478777
449,,,,,0.3478431
450,,,,,0.34857
451,,,,,0.3483277
452,,,,,0.3486277
453,,,,,0.3474277
454,,,,,0.3471046
455,,,,,0.3486161
456,,,,,0.3495046
457,,,,,0.3499084
458,,,,,0.3495507
459,,,,,0.3496892
460,,,,,0.3495853
461,,,,,0.3497815
462,,,,,0.3497815
463,,,,,0.349943
464,,,,,0.3498622
465,,,,,0.3499199
466,,,,,0.3496199
467,,,,,0.3494123
468,,,,,0.3496661
469,,,,,0.3498276
470,,,,,0.3483161
471,,,,,0.3470469
472,,,,,0.3477161
473,,,,,0.3484084
474,,,,,0.3489738
475,,,,,0.3494007
476,,,,,0.3486161
477,,,,,0.3479007
478,,,,,0.3483623
479,,,,,0.3480392
480,,,,,0.3479815
481,,,,,0.3477969
482,,,,,0.3490776
483,,,,,0.3492507
484,,,,,0.3496546
485,,,,,0.3495392
486,,,,,0.3493661
487,,,,,0.3495392
488,,,,,0.3498276
489,,,,,0.3501969
490,,,,,0.349643
491,,,,,0.3495392
492,,,,,0.3497699
493,,,,,0.349793
494,,,,,0.3496661
495,,,,,0.3492161
496,,,,,0.349793
497,,,,,0.3493199
498,,,,,0.3495622
499,,,,,0.3495622
500,,,,,0.3497007
501,,,,,0.3496546
502,,,,,0.3497353
503,,,,,0.3496084
504,,,,,0.349793
505,,,,,0.3496546
506,,,,,0.3499776
507,,,,,0.349643
508,,,,,0.349343
509,,,,,0.3494584
510,,,,,0.3493199
511,,,,,0.3499776
512,,,,,0.3500007
513,,,,,0.3500584
514,,,,,0.3496546
515,,,,,0.3502661
516,,,,,0.3500122
517,,,,,0.3501853
518,,,,,0.3498392
519,,,,,0.3497122
520,,,,,0.3496661
521,,,,,0.3496661
522,,,,,0.349943
523,,,,,0.3496892
524,,,,,0.3496199
525,,,,,0.3499661
526,,,,,0.34887
527,,,,,0.3487892
528,,,,,0.3497699
529,,,,,0.3501853
530,,,,,0.3504622
531,,,,,0.3500699
532,,,,,0.3498738
533,,,,,0.3495507
534,,,,,0.3503699
535,,,,,0.3495622
536,,,,,0.3494123
537,,,,,0.3495507
538,,,,,0.3500122
539,,,,,0.3495738
540,,,,,0.3500007
541,,,,,0.3497007
542,,,,,0.3498276
543,,,,,0.3495969
544,,,,,0.3488007
545,,,,,0.3492738
546,,,,,0.349343
547,,,,,0.3498853
548,,,,,0.3498392
549,,,,,0.3495161
550,,,,,0.3497469
551,,,,,0.3496546
552,,,,,0.3496546
553,,,,,0.3495507
554,,,,,0.3494699
555,,,,,0.3495622
556,,,,,0.3492623
557,,,,,0.3498392
558,,,,,0.3510045
559,,,,,0.3500584
560,,,,,0.3503238
561,,,,,0.3502892
562,,,,,0.3501276
563,,,,,0.3495622
564,,,,,0.3496661
565,,,,,0.3495046
566,,,,,0.349943
567,,,,,0.3499776
568,,,,,0.3496661
569,,,,,0.349793
570,,,,,0.3497238
571,,,,,0.3503468
572,,,,,0.3502776
573,,,,,0.3504045
574,,,,,0.3498276
575,,,,,0.3510622
576,,,,,0.3497238
577,,,,,0.3497699
578,,,,,0.3533468
579,,,,,0.3523776
580,,,,,0.3501392
581,,,,,0.352493
582,,,,,0.3554814
583,,,,,0.3555044
584,,,,,0.3512584
