Time (s),North_Heat_Flux_1,South_Heat_Flux_1,North_Heat_Flux_2,South_Heat_Flux_2,North_Heat_Flux_3,South_Heat_Flux_3,North_Heat_Flux_4,South_Heat_Flux_4,North_Heat_Flux_5,South_Heat_Flux_5
139,2.572100718,2.579141446,3.006736548,2.828553616,2.729782554,2.696631833,2.4710992,2.6414966,2.2512419,3.1830394
140,2.421157422,2.258356611,2.824795968,2.921102786,2.744270415,2.759690759,2.4086941,2.6037112,2.2830613,2.9369315
141,2.426211327,2.266199761,2.548178901,2.702278901,2.579850039,2.72627894,2.6770258,2.8265923,2.6198126,3.2472842
142,2.135780253,2.067611203,2.272909542,2.474670688,2.556602076,2.831063424,2.5526268,2.9580271,2.809444,3.5382893
143,2.46967491,2.135846608,2.374998423,2.344474398,2.690699022,3.078906964,2.3997497,2.9227799,2.4857495,3.4664539
144,2.514486201,2.307768456,2.51347542,2.358905794,2.406669561,2.901338048,2.1340909,2.5850579,2.5110405,3.1455414
145,2.407006488,2.437494157,2.405995707,2.315611606,2.352087387,2.726592666,2.2806967,2.7880646,2.4903245,2.8528362
146,2.433623721,2.426827473,2.315025417,2.183846686,2.211925755,2.630435647,2.3511724,2.6819638,2.2504708,2.824557
147,2.44609002,2.422435309,2.494607508,2.088003393,2.130726348,2.652239604,2.3433075,2.5673146,2.2029216,2.952831
148,2.367586029,2.455847128,2.387801649,2.046434698,2.28773433,2.926122402,2.2576675,2.3047084,2.0582692,2.8210131
149,2.413408101,2.397650955,3.164418384,2.393886243,2.263138659,2.943220469,2.5724176,2.3378724,2.150489,2.7789416
150,2.347033482,2.504631521,2.937329586,2.547298257,2.171831442,2.874671338,2.4997829,2.3389499,2.3946092,2.8291066
151,2.061656313,2.541494326,3.02560446,2.525337437,2.0889474,2.745416226,2.2761731,2.3162979,2.2559197,2.7637125
152,1.940025666,2.471219702,2.71563162,2.273886048,2.071427196,2.618670922,2.5027644,2.6501886,2.2704158,2.6050042
153,2.089958181,2.576631638,2.708556153,2.225729107,1.931939418,2.606906197,2.3364193,2.5413341,2.3295825,2.7315302
154,2.092990524,2.626984661,2.381736963,2.19137611,2.016171168,2.68392593,2.4568087,2.4839377,2.1721817,2.5740431
155,2.010106482,2.671847479,2.24056455,2.107454405,1.877694171,2.472945195,2.5629591,2.4620758,2.1056642,2.4457212
156,1.801211742,2.482827564,2.125335516,1.948552186,1.887801981,2.387925449,2.5916943,2.4364305,2.0223888,2.3773819
157,1.827828975,2.325964564,2.556265149,1.942277666,1.845686106,2.26667035,2.5238403,2.5528996,1.8937232,2.3144541
158,1.82614434,2.263062501,2.514823128,2.014434646,1.76886675,2.187140809,2.3454665,2.4123896,2.030922,2.3687616
159,1.798179399,2.115297555,2.444068458,1.890983465,1.712936868,2.147925059,2.4322373,2.5331209,2.0571897,2.4393758
160,1.928570148,2.134748567,1.931602491,2.022905248,1.658354694,2.125179924,2.4054556,2.6151569,2.1513115,2.4271638
161,1.698785934,2.002669921,2.008421847,2.28863117,1.729446291,2.094591639,2.3387839,2.8243655,1.956334,2.343308
162,1.782680757,1.990905196,1.860510894,2.368945026,1.917788484,2.069336696,2.1137347,2.6175993,1.8463796,2.2235823
163,1.769540604,2.258042885,1.830524391,2.444709855,1.82614434,2.072317093,2.0156034,2.4490736,1.8172847,2.1699453
164,1.574796798,2.148709374,1.798853253,2.28706254,1.661387037,1.889571698,2.169303,2.6593836,1.6515564,2.0363075
