s,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,kW/m2,kW/m2
Time,"T01","T02","T03","T04","T05","T06","T07","T08","T09","T10","T11","T12","TC01","TC02","TC03","TC04","TC05","TC06","TC07","TC08","TC09","TC10","TC11","TC12","HF1","GHF1"
 3.1003232E+001, 7.5875729E+002, 8.5059946E+002, 9.8078648E+002, 1.0131353E+003, 8.3723489E+002, 6.9960575E+002, 5.6426097E+002, 5.1637784E+002, 4.3109995E+002, 3.8436817E+002, 3.4321637E+002, 3.1812691E+002, 7.3593497E+002, 8.2585323E+002, 8.0278090E+002, 7.8878224E+002, 7.2230161E+002, 6.5445683E+002, 5.6395889E+002, 5.0363077E+002, 4.0500276E+002, 3.5704593E+002, 3.0148194E+002, 2.7378915E+002,-5.6843419E-017, 1.5372880E+000
 3.2002133E+001, 8.7343526E+002, 9.5569032E+002, 8.9468058E+002, 8.8894968E+002, 7.8530578E+002, 7.1306356E+002, 5.7649645E+002, 5.0539487E+002, 4.4902295E+002, 4.2194038E+002, 3.6993308E+002, 3.3760166E+002, 7.3717986E+002, 8.0667926E+002, 8.2476374E+002, 8.2568582E+002, 7.5048804E+002, 6.8339340E+002, 5.8205642E+002, 5.1818712E+002, 4.3006590E+002, 3.8377789E+002, 3.2815711E+002, 2.9936313E+002,-5.6843419E-017, 1.6019930E+000
 3.3000228E+001, 5.8437873E+002, 8.8357217E+002, 1.0607300E+003, 1.0452807E+003, 9.0885334E+002, 7.9351922E+002, 6.1162373E+002, 5.5255781E+002, 5.0380009E+002, 4.7362187E+002, 3.9344304E+002, 3.4216980E+002, 6.9559319E+002, 8.1144431E+002, 8.5831629E+002, 8.5836954E+002, 7.8743749E+002, 7.1863686E+002, 5.9286499E+002, 5.2843212E+002, 4.5157239E+002, 4.0937714E+002, 3.4606219E+002, 3.1145439E+002,-5.6843419E-017, 1.3325328E+000
 3.4000618E+001, 7.4518494E+002, 9.4822376E+002, 1.0338804E+003, 1.0426726E+003, 1.0286013E+003, 1.0186233E+003, 9.3688190E+002, 8.5192018E+002, 6.8085643E+002, 5.4102482E+002, 4.1574837E+002, 3.7985744E+002, 6.4151047E+002, 7.9113233E+002, 8.7746258E+002, 8.8847557E+002, 8.5119565E+002, 8.0333085E+002, 6.9766047E+002, 6.3506817E+002, 5.3717433E+002, 4.6925969E+002, 3.8359036E+002, 3.4161633E+002,-5.6843419E-017, 1.3407888E+000
 3.5001067E+001, 8.5545215E+002, 9.3261004E+002, 7.9553067E+002, 7.0321182E+002, 5.5868579E+002, 5.0511295E+002, 4.3052481E+002, 3.8182494E+002, 3.0247820E+002, 2.5992263E+002, 2.3169118E+002, 2.2094464E+002, 7.1699301E+002, 8.1832722E+002, 8.3912079E+002, 8.2253947E+002, 7.6629747E+002, 7.3532110E+002, 6.5851619E+002, 6.0221110E+002, 5.0561184E+002, 4.3959344E+002, 3.6265942E+002, 3.2708109E+002,-5.6843419E-017, 1.6005539E+000
 3.6002233E+001, 6.6315538E+002, 7.9611615E+002, 8.3148610E+002, 8.4601995E+002, 7.8942543E+002, 7.3462951E+002, 6.9788574E+002, 6.3773939E+002, 5.5759166E+002, 5.0888766E+002, 4.1206030E+002, 3.4867097E+002, 6.8130834E+002, 7.7679834E+002, 8.0952120E+002, 8.0902413E+002, 7.7038930E+002, 7.4343989E+002, 6.7254942E+002, 6.0656407E+002, 5.0391621E+002, 4.3897280E+002, 3.5655567E+002, 3.1578307E+002,-5.6843419E-017, 1.4104158E+000
 3.7004189E+001, 7.4580282E+002, 8.3060382E+002, 8.2828472E+002, 8.5591208E+002, 9.2099183E+002, 9.5797213E+002, 8.5218761E+002, 7.1444417E+002, 5.1869429E+002, 4.3615386E+002, 3.6793932E+002, 3.3695019E+002, 6.7458690E+002, 7.6347926E+002, 7.9043957E+002, 8.0180773E+002, 7.9200609E+002, 7.7113887E+002, 6.9929318E+002, 6.1573482E+002, 5.0364607E+002, 4.4149220E+002, 3.6406517E+002, 3.2401208E+002,-5.6843419E-017, 1.4122929E+000
 3.8001589E+001, 6.3438253E+002, 9.1573500E+002, 9.0520141E+002, 8.2617348E+002, 6.9014947E+002, 6.0692405E+002, 5.3044725E+002, 4.7610534E+002, 3.8272421E+002, 3.1371559E+002, 2.5074505E+002, 2.2419858E+002, 6.5043804E+002, 7.7165127E+002, 7.9213196E+002, 7.9684912E+002, 7.9424413E+002, 7.7585862E+002, 6.9127721E+002, 6.0995759E+002, 4.9832617E+002, 4.3463705E+002, 3.5989199E+002, 3.2308359E+002,-5.6843419E-017, 1.4302217E+000
 3.9001363E+001, 8.8290425E+002, 8.5783350E+002, 7.4134047E+002, 7.2348894E+002, 6.6961853E+002, 5.9733537E+002, 5.0820043E+002, 3.9525401E+002, 2.5103361E+002, 2.1762268E+002, 2.0950784E+002, 1.9729055E+002, 6.8235132E+002, 7.9073109E+002, 7.8568886E+002, 7.7170595E+002, 7.2219190E+002, 6.7494384E+002, 5.9356888E+002, 5.1903665E+002, 4.2302334E+002, 3.7272026E+002, 3.1364385E+002, 2.8113505E+002,-5.6843419E-017, 1.5827286E+000
 4.0003217E+001, 8.0643886E+002, 8.3061003E+002, 7.7213328E+002, 7.3947624E+002, 7.3117462E+002, 7.0902305E+002, 5.7162166E+002, 5.1990808E+002, 3.8750653E+002, 3.1231430E+002, 2.4285373E+002, 2.2416034E+002, 7.0098619E+002, 7.7066650E+002, 7.4165634E+002, 7.2978590E+002, 7.0706149E+002, 6.7284981E+002, 6.0651727E+002, 5.3657114E+002, 3.9975941E+002, 3.4134708E+002, 2.8441798E+002, 2.5575058E+002,-5.6843419E-017, 1.5277885E+000
