s,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,kW/m2,kW/m2
Time,"T01","T02","T03","T04","T05","T06","T07","T08","T09","T10","T11","T12","TC01","TC02","TC03","TC04","TC05","TC06","TC07","TC08","TC09","TC10","TC11","TC12","HF1","GHF1"
 3.1002306E+001, 5.3384088E+002, 8.2783981E+002, 9.6563739E+002, 9.2859064E+002, 7.6126166E+002, 6.2476603E+002, 4.2335300E+002, 3.3835840E+002, 2.8630419E+002, 2.6523695E+002, 2.2177779E+002, 1.9874099E+002, 6.4375880E+002, 7.8666173E+002, 8.3931019E+002, 8.3473113E+002, 7.8250339E+002, 7.0716625E+002, 5.7248880E+002, 4.9550753E+002, 4.0748889E+002, 3.6836271E+002, 3.1398895E+002, 2.8087589E+002,-5.6843419E-017, 1.5547645E+000
 3.2000463E+001, 7.9051337E+002, 9.0576223E+002, 8.9869105E+002, 9.1007259E+002, 8.5700229E+002, 7.8036707E+002, 6.5766840E+002, 5.8296265E+002, 4.9440933E+002, 4.4017595E+002, 3.6130038E+002, 3.2209945E+002, 6.2783776E+002, 7.6154426E+002, 8.3833337E+002, 8.4804230E+002, 8.0268383E+002, 7.3117994E+002, 5.9768948E+002, 5.1783570E+002, 4.2942955E+002, 3.8583315E+002, 3.2491640E+002, 2.8827562E+002,-5.6843419E-017, 1.6326078E+000
 3.3000536E+001, 6.7135819E+002, 9.0579710E+002, 1.0107286E+003, 9.9972072E+002, 9.4187878E+002, 8.8564033E+002, 6.9079702E+002, 5.8768258E+002, 4.8798397E+002, 4.4115600E+002, 3.7629187E+002, 3.3728891E+002, 6.5831226E+002, 7.9389775E+002, 8.3491350E+002, 8.4188121E+002, 8.0307219E+002, 7.4279897E+002, 5.9886319E+002, 5.1943852E+002, 4.4090629E+002, 3.9925784E+002, 3.3883246E+002, 3.0251269E+002,-5.6843419E-017, 1.5422733E+000
 3.4003191E+001, 6.3061734E+002, 8.0148422E+002, 8.8499485E+002, 9.0347349E+002, 7.5980680E+002, 6.5704549E+002, 5.6603160E+002, 5.1773841E+002, 4.4950291E+002, 4.1581898E+002, 3.5435661E+002, 3.0823013E+002, 6.3764059E+002, 7.6620600E+002, 8.2645665E+002, 8.3632548E+002, 7.8508632E+002, 7.3110552E+002, 6.2343819E+002, 5.5447332E+002, 4.7383164E+002, 4.2943487E+002, 3.6259743E+002, 3.2195838E+002,-5.6843419E-017, 1.5591089E+000
 3.5003757E+001, 6.8307596E+002, 8.5750576E+002, 9.4686798E+002, 9.8275101E+002, 9.8140574E+002, 9.2759636E+002, 7.9253251E+002, 6.6107229E+002, 4.6055276E+002, 3.5452791E+002, 2.8514803E+002, 2.6838452E+002, 6.3959091E+002, 7.6800677E+002, 8.5506607E+002, 8.7022837E+002, 8.0197254E+002, 7.3683832E+002, 6.3200464E+002, 5.6444049E+002, 4.6712403E+002, 4.1393359E+002, 3.4284217E+002, 3.0153090E+002,-5.6843419E-017, 1.5070768E+000
 3.6003778E+001, 8.0177720E+002, 9.7877446E+002, 9.9664512E+002, 8.2456686E+002, 6.0705163E+002, 5.0294702E+002, 4.1027078E+002, 3.7305722E+002, 3.4031715E+002, 3.1787111E+002, 2.7595945E+002, 2.6023353E+002, 6.4174143E+002, 7.9422639E+002, 8.4699202E+002, 8.2920779E+002, 7.8097453E+002, 7.3690642E+002, 6.5676179E+002, 5.8514786E+002, 4.6058151E+002, 3.9754699E+002, 3.2957152E+002, 2.9707678E+002,-5.6843419E-017, 1.6795889E+000
 3.7003993E+001, 6.4617743E+002, 8.3569380E+002, 8.3296252E+002, 8.0947671E+002, 7.6415978E+002, 6.7132874E+002, 5.1443354E+002, 4.6406282E+002, 4.3316954E+002, 4.0833637E+002, 3.4019894E+002, 2.9987183E+002, 6.6897764E+002, 7.9970042E+002, 8.2024287E+002, 7.9486069E+002, 7.4383283E+002, 6.8542618E+002, 5.8793250E+002, 5.2562489E+002, 4.3301916E+002, 3.8464015E+002, 3.2353421E+002, 2.9371935E+002,-5.6843419E-017, 1.5759074E+000
 3.8002310E+001, 6.4219054E+002, 8.4337125E+002, 9.1691746E+002, 8.4590150E+002, 8.0418268E+002, 7.8100483E+002, 6.9255497E+002, 5.8950469E+002, 4.4672855E+002, 3.9030032E+002, 3.5171918E+002, 3.2042253E+002, 6.4999582E+002, 7.9094215E+002, 8.1901062E+002, 7.7814125E+002, 7.3173294E+002, 6.7412514E+002, 5.7556405E+002, 5.1657671E+002, 4.4103052E+002, 3.9796467E+002, 3.3706068E+002, 3.0510530E+002,-5.6843419E-017, 1.5684953E+000
 3.9002425E+001, 8.0894576E+002, 7.6472116E+002, 6.8690437E+002, 6.9329354E+002, 6.5411099E+002, 6.1642729E+002, 5.6945315E+002, 5.4052207E+002, 4.8842623E+002, 4.4415666E+002, 3.7493802E+002, 3.2156644E+002, 6.5828978E+002, 7.5287824E+002, 8.0517145E+002, 7.9935147E+002, 7.6888959E+002, 7.3287394E+002, 6.5401555E+002, 5.8683101E+002, 4.8950424E+002, 4.3780663E+002, 3.7236055E+002, 3.3007088E+002,-5.6843419E-017, 1.6451369E+000
 4.0000529E+001, 5.9929123E+002, 7.7403244E+002, 8.6725229E+002, 8.6228109E+002, 7.9856238E+002, 7.1046646E+002, 5.3428705E+002, 4.4323361E+002, 3.5602669E+002, 3.1983778E+002, 2.7312602E+002, 2.5015586E+002, 6.4185595E+002, 7.1964455E+002, 7.5897340E+002, 7.5518018E+002, 7.1947397E+002, 6.7056285E+002, 5.7599719E+002, 5.1885875E+002, 4.4674290E+002, 4.0773837E+002, 3.5467250E+002, 3.1832232E+002,-5.6843419E-017, 1.6160083E+000
