s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_GEOM,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL
 2.9000906E+002, 7.9499264E+001,-1.8616771E+001,-6.4797597E+001,-4.3410317E-002,-7.6585004E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.1084323E+000,-3.9661722E+000, 1.5996709E-003, 1.5996709E-003
 2.9100214E+002, 8.0089514E+001,-1.8978433E+001,-5.4410584E+001,-6.2590836E-002,-7.6126690E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 6.6836243E+000, 6.6302935E+000, 1.5996709E-003, 1.5996709E-003
 2.9201111E+002, 7.7423486E+001,-1.8024780E+001,-5.9231344E+001,-2.9106360E-002,-7.5512447E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.0174164E-001, 1.3070462E-001, 1.5996709E-003, 1.5996709E-003
 2.9300256E+002, 8.1847777E+001,-1.9324679E+001,-6.3120838E+001,-5.1687840E-002,-7.6100415E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-7.9016442E-001,-6.5703822E-001, 1.5996709E-003, 1.5996709E-003
 2.9400507E+002, 7.8765708E+001,-1.8529160E+001,-5.9719856E+001,-4.5712144E-002,-7.5897011E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.7797993E-001, 4.6339075E-001, 1.5996709E-003, 1.5996709E-003
 2.9501080E+002, 7.8851976E+001,-1.8453110E+001,-5.9795941E+001,-8.5945904E-002,-7.5391915E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.5924913E-001, 5.0943964E-001, 1.5996709E-003, 1.5996709E-003
 2.9600012E+002, 7.9605816E+001,-1.8731914E+001,-5.8780485E+001,-5.0715715E-002,-7.4610804E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.8497527E+000, 2.0352410E+000, 1.5996709E-003, 1.5996709E-003
 2.9700827E+002, 7.9812083E+001,-1.8719850E+001,-6.5414653E+001,-3.4266935E-002,-7.5534122E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.3662410E+000,-4.3642405E+000, 1.5996709E-003, 1.5996709E-003
 2.9800882E+002, 7.8785273E+001,-1.8570983E+001,-5.9881892E+001,-6.5047044E-002,-7.4982750E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 8.5332910E-002, 2.5985273E-001, 1.5996709E-003, 1.5996709E-003
 2.9900452E+002, 7.8308687E+001,-1.8384723E+001,-5.5358553E+001,-7.3863037E-002,-7.4427486E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.1319452E+000, 4.4841051E+000, 1.5996709E-003, 1.5996709E-003
 3.0000000E+002, 7.8337919E+001,-1.8601700E+001,-6.5282595E+001,-4.9826636E-002,-7.4524896E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.3462522E+000,-5.6036551E+000, 1.5996709E-003, 1.5996709E-003
