s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_GEOM,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL
 2.1800014E+002, 8.2912038E+001,-1.5836632E+001,-5.6891046E+001,-8.2363053E+000,-5.4714991E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.1537997E+000, 1.9425826E+000, 1.5996709E-003, 1.5996709E-003
 2.1900270E+002, 7.7703238E+001,-1.4609720E+001,-5.3429910E+001,-7.6007209E+000,-5.4656857E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.1910409E+000, 2.0574208E+000, 1.5996709E-003, 1.5996709E-003
 2.2000362E+002, 7.8420750E+001,-1.4710640E+001,-5.6040602E+001,-6.9594020E+000,-5.4552545E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.2564702E+000, 7.0465118E-001, 1.5996709E-003, 1.5996709E-003
 2.2100157E+002, 7.9620768E+001,-1.5010713E+001,-6.1435298E+001,-7.1348604E+000,-5.3611010E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.7388269E+000,-3.9654643E+000, 1.5996709E-003, 1.5996709E-003
 2.2200282E+002, 8.1267302E+001,-1.5475330E+001,-6.1353640E+001,-8.2666921E+000,-5.3856073E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.6858127E+000,-3.8337461E+000, 1.5996709E-003, 1.5996709E-003
 2.2300185E+002, 7.9018378E+001,-1.4870917E+001,-5.6519548E+001,-7.2501932E+000,-5.5660553E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.5483590E-001, 3.7215352E-001, 1.5996709E-003, 1.5996709E-003
 2.2400069E+002, 7.8704190E+001,-1.4725942E+001,-5.6670756E+001,-6.3980979E+000,-5.5621350E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.1087455E+000, 9.0383263E-001, 1.5996709E-003, 1.5996709E-003
 2.2500005E+002, 8.1925396E+001,-1.5454076E+001,-6.0278733E+001,-7.0493827E+000,-5.5200978E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-6.3759422E-001,-8.6231518E-001, 1.5996709E-003, 1.5996709E-003
 2.2600346E+002, 7.9995640E+001,-1.4974996E+001,-6.0123964E+001,-6.9727422E+000,-5.4157778E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.7592902E+000,-2.0814781E+000, 1.5996709E-003, 1.5996709E-003
 2.2700056E+002, 7.6687797E+001,-1.4496609E+001,-5.7838078E+001,-8.2795478E+000,-5.2696736E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.6271083E+000,-3.9317071E+000, 1.5996709E-003, 1.5996709E-003
 2.2800235E+002, 8.2920743E+001,-1.5623890E+001,-6.0573423E+001,-8.7832718E+000,-5.6868395E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.7669265E+000,-2.0655281E+000, 1.5996709E-003, 1.5996709E-003
 2.2900121E+002, 8.0179588E+001,-1.5150766E+001,-5.5730499E+001,-6.4033744E+000,-5.4197935E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.0308803E+000, 2.8895286E+000, 1.5996709E-003, 1.5996709E-003
 2.3000037E+002, 7.8421841E+001,-1.4684392E+001,-5.5643749E+001,-7.6899988E+000,-5.3328936E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.4995832E-001, 3.9836824E-001, 1.5996709E-003, 1.5996709E-003
 2.3100272E+002, 7.9090815E+001,-1.5064805E+001,-5.5316999E+001,-8.0889062E+000,-5.4975714E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 8.2418841E-001, 6.1460728E-001, 1.5996709E-003, 1.5996709E-003
 2.3200034E+002, 8.2417516E+001,-1.5559064E+001,-5.6135635E+001,-5.6882629E+000,-5.4416263E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.2030337E+000, 5.0291128E+000, 1.5996709E-003, 1.5996709E-003
 2.3300294E+002, 7.9549160E+001,-1.5091945E+001,-5.7216483E+001,-7.2194953E+000,-5.5706912E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.3742376E-001, 1.5666073E-002, 1.5996709E-003, 1.5996709E-003
 2.3400362E+002, 7.9159434E+001,-1.5143871E+001,-5.8530720E+001,-9.6634571E+000,-5.4657189E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.8610253E+000,-4.1840802E+000, 1.5996709E-003, 1.5996709E-003
 2.3500124E+002, 8.2055278E+001,-1.5455494E+001,-6.2290317E+001,-8.5828545E+000,-5.4981130E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.9133785E+000,-4.2788856E+000, 1.5996709E-003, 1.5996709E-003
 2.3600261E+002, 7.9089077E+001,-1.4696190E+001,-6.0892460E+001,-6.9926958E+000,-5.3694811E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.2075111E+000,-3.4976390E+000, 1.5996709E-003, 1.5996709E-003
 2.3700328E+002, 8.3105153E+001,-1.5697967E+001,-5.5108443E+001,-7.8276797E+000,-5.4822908E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.7334383E+000, 4.4655815E+000, 1.5996709E-003, 1.5996709E-003
 2.3800287E+002, 7.9181878E+001,-1.4964316E+001,-5.4694031E+001,-8.0909617E+000,-5.4753280E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.5591073E+000, 1.4270932E+000, 1.5996709E-003, 1.5996709E-003
 2.3900023E+002, 8.2249346E+001,-1.5335826E+001,-5.9704838E+001,-7.1910824E+000,-5.4722536E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.6981723E-001, 1.2127541E-002, 1.5996709E-003, 1.5996709E-003
