s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_GEOM,Q_ENTH,Q_TOTAL,BURN_RATE
 3.4500618E+001, 1.0034842E+004,-3.0858576E+003,-6.9022917E+003,-2.2406664E+001, 5.7114135E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 8.5696714E+001, 2.9997900E+001, 5.2134146E-001
 3.4801346E+001, 8.8940867E+003,-2.7528201E+003,-6.1603467E+003,-9.2178623E+000, 5.3970992E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.1075716E+001,-2.2900915E+001, 5.2134146E-001
 3.5102055E+001, 7.0904850E+003,-2.1923919E+003,-5.0294172E+003,-2.3258960E+001, 4.9747846E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.6147555E+002,-1.4960819E+002, 5.2134146E-001
 3.5401752E+001, 8.6060661E+003,-2.6492085E+003,-5.8783645E+003,-3.4579602E+001, 4.6910782E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.5216057E+001, 4.8604596E+001, 5.2134146E-001
 3.5701794E+001, 7.2723966E+003,-2.2140679E+003,-5.1170542E+003,-4.5371789E+000, 4.3800359E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-8.8861173E+001,-5.8882690E+001, 5.2134146E-001
 3.6001808E+001, 7.8860889E+003,-2.4259954E+003,-5.4067879E+003, 2.2129586E+001, 4.6980873E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.0728476E+002, 8.0133301E+001, 5.2134146E-001
 3.6301060E+001, 8.2260816E+003,-2.5265157E+003,-5.6716629E+003, 6.4717205E+000, 4.8571227E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.5240475E+001, 3.9231834E+001, 5.2134146E-001
 3.6601799E+001, 9.8301741E+003,-3.0873403E+003,-6.4841062E+003,-3.8510758E+001, 4.9150699E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.9065369E+002, 2.2513198E+002, 5.2134146E-001
 3.6900227E+001, 9.9952776E+003,-3.1839565E+003,-6.7746491E+003,-5.2442420E+001, 4.9339530E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.5250473E+001,-1.0836503E+001, 5.2134146E-001
 3.7201153E+001, 7.9314487E+003,-2.5330492E+003,-5.5259865E+003,-3.2077965E+001, 4.3369237E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.6527863E+002,-1.5532809E+002, 5.2134146E-001
 3.7500980E+001, 6.7066931E+003,-2.1051520E+003,-4.6973335E+003, 7.1545597E+000, 4.0883483E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.1286469E+002,-8.4549552E+001, 5.2134146E-001
 3.7801712E+001, 9.7170781E+003,-3.0002535E+003,-6.6537796E+003,-2.8270842E+001, 5.1422203E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 8.3339021E+001, 3.9916370E+001, 5.2134146E-001
 3.8101990E+001, 9.2701911E+003,-2.8181515E+003,-6.4470890E+003,-2.7702018E+000, 4.8951731E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.1504788E+000, 7.0755074E+000, 5.2134146E-001
 3.8402111E+001, 8.9653176E+003,-2.7386346E+003,-6.2963159E+003, 2.0684502E+001, 4.3850255E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.0013809E+001,-4.4563288E+001, 5.2134146E-001
 3.8700104E+001, 8.3143370E+003,-2.5504980E+003,-5.7608957E+003, 2.5596512E+001, 4.5241297E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.5216608E+001, 3.3063889E+001, 5.2134146E-001
 3.9001923E+001, 8.4455174E+003,-2.5775743E+003,-5.8713408E+003, 1.8420692E+000, 5.0102466E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.6696995E+001, 3.4546926E+000, 5.2134146E-001
 3.9301735E+001, 8.5132681E+003,-2.6311409E+003,-5.7904173E+003, 5.7097123E+000, 5.3148341E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 7.9446938E+001, 1.0273449E+002, 5.2134146E-001
 3.9601242E+001, 9.3603796E+003,-2.9291068E+003,-6.2898359E+003,-3.4948824E+001, 5.2735479E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.0358660E+002, 1.1176164E+002, 5.2134146E-001
 3.9900265E+001, 8.6800320E+003,-2.7398900E+003,-6.0165124E+003,-2.6292720E+001, 4.7538880E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.1808218E+002,-9.7909209E+001, 5.2134146E-001
