Time,TC2_BED2_0-03mBC,TC2_BED2_0-30mBC,TC2_BED2_0-61mBC,TC2_BED2_0-91mBC,TC2_BED2_1-22mBC,TC2_BED2_1-52mBC,TC2_BED2_1-83mBC,TC2_BED2_2-13mBC,TC3_BED3_0-03mBC,TC3_BED3_0-30mBC,TC3_BED3_0-61mBC,TC3_BED3_0-91mBC,TC3_BED3_1-22mBC,TC3_BED3_1-52mBC,TC3_BED3_1-83mBC,TC3_BED3_2-13mBC,TC4_BED4_0-03mBC,TC4_BED4_0-30mBC,TC4_BED4_0-61mBC,TC4_BED4_0-91mBC,TC4_BED4_1-22mBC,TC4_BED4_1-52mBC,TC4_BED4_1-83mBC,TC4_BED4_2-13mBC,TC_DataRoom,DP_OBW_1-2mBC,DP_CBW_1-2mBC,,,
38,19.445272,17.504635,16.550125,15.75028,14.944119,14.843028,14.804346,13.009296,43.043749,36.481032,31.204172,23.309658,16.817199,12.766171,11.023503,15.361229,22.872198,20.648556,18.450586,17.718102,16.62774,15.683495,15.894863,14.804705,13.129847,-0.192879712,-0.09872384,,,
39,19.597173,17.580726,16.626253,15.94078,15.020314,15.071786,14.880591,13.009296,43.675503,36.406254,31.392113,23.688185,16.855275,12.766171,11.023503,15.437439,22.644881,20.648556,18.37454,17.642046,16.551589,15.683495,15.818673,14.690388,13.053531,-0.329520672,-0.41768544,,,
40,19.868553,17.624377,16.631864,15.984491,15.140215,15.153648,14.962449,13.014922,44.646565,37.047214,31.961271,26.566277,16.860885,12.657248,10.761553,15.443055,22.764128,20.654149,18.418167,17.609623,16.595277,15.651021,15.824288,14.734114,12.862728,0.080501728,-0.47839264,,,
41,19.982441,17.70046,16.784105,16.136867,15.178307,15.229888,15.038685,13.014922,44.201004,37.943693,33.20018,29.016941,17.051246,12.542691,10.532169,15.404951,22.650465,20.578304,18.266067,17.419457,16.442967,15.574839,15.786192,14.734114,12.90089,0.505651168,-0.4936192,,,
42,20.221374,18.01596,16.909494,16.186184,15.265722,15.164882,15.049921,13.064327,44.694634,37.805341,33.736393,30.909293,17.32892,12.515757,10.428733,15.378078,22.851062,20.81701,18.315301,17.620837,16.606499,15.70034,15.873612,14.783457,12.830183,-0.041012192,-0.34175168,,,
43,20.562904,18.168077,17.099752,16.262363,15.303811,15.203003,14.973685,13.102481,46.808853,39.335348,34.523642,31.923776,17.785575,12.706684,10.466968,15.49239,22.510063,20.513641,18.087126,17.088307,16.26378,15.319404,15.606926,14.745352,12.595565,-0.526868832,-0.44803904,,,
44,21.202153,18.314571,17.132192,16.485262,15.336283,15.273623,15.08242,13.13501,46.543931,42.01175,35.716635,32.856715,18.122354,12.701058,10.4231,15.448671,22.428687,20.545973,17.967417,17.082697,16.181996,15.237588,15.487,14.777838,12.481053,0.566358368,-0.12907744,,,
45,21.619213,18.580698,17.3985,16.637581,15.526708,15.387973,15.044303,13.13501,46.284423,42.681269,36.352807,33.569401,18.464646,12.930143,10.4231,15.601077,22.35289,20.432192,17.891342,16.968555,16.06773,15.237588,15.448894,14.663519,12.437261,2.342989408,-0.8429344,,,
46,22.23116,18.776356,17.708392,16.719345,15.456157,15.355473,15.011803,13.178787,46.808853,42.761118,37.143662,33.987315,18.926489,13.202993,10.466968,15.606693,22.320575,20.437786,17.820868,16.783906,16.073343,15.205103,15.378297,14.440474,12.372154,1.507817568,1.161896,,,
47,22.528634,18.922779,17.892928,16.751809,15.450541,15.4642,15.120535,13.173163,49.247282,42.458138,38.109712,34.993345,19.528948,13.579041,10.499569,15.639176,22.390789,20.583897,17.92938,16.968555,16.143908,15.313788,15.487,14.320509,12.301425,0.490424608,0.69106688,,,
48,23.469588,19.107182,18.077436,16.746199,15.483009,15.420471,15.114917,13.20569,52.56782,44.570766,38.813661,35.736517,19.865251,14.069453,10.532169,15.633561,22.15779,20.388669,17.771615,16.848792,15.985933,15.231971,15.290845,14.08617,12.519225,-0.162526112,-0.61513312,,,
