Time,TC1_BED1_0-03mBC,TC1_BED1_0-30mBC,TC1_BED1_0-61mBC,TC1_BED1_0-91mBC,TC1_BED1_1-22mBC,TC1_BED1_1-52mBC,TC1_BED1_1-83mBC,TC1_BED1_2-13mBC,TC2_BED2_0-03mBC,TC2_BED2_0-30mBC,TC2_BED2_0-61mBC,TC2_BED2_0-91mBC,TC2_BED2_1-22mBC,TC2_BED2_1-52mBC,TC2_BED2_1-83mBC,TC2_BED2_2-13mBC,TC3_BED3_0-03mBC,TC3_BED3_0-30mBC,TC3_BED3_0-61mBC,TC3_BED3_0-91mBC,TC3_BED3_1-22mBC,TC3_BED3_1-52mBC,TC3_BED3_1-83mBC,TC3_BED3_2-13mBC,TC4_BED4_0-03mBC,TC4_BED4_0-30mBC,TC4_BED4_0-61mBC,TC4_BED4_0-91mBC,TC4_BED4_1-22mBC,TC4_BED4_1-52mBC,TC4_BED4_1-83mBC,TC4_BED4_2-13mBC,TC5_LR_0-03mBC,TC5_LR_0-30mBC,TC5_LR_0-61mBC,TC5_LR_0-91mBC,TC5_LR_1-22mBC,TC5_LR_1-52mBC,TC5_LR_1-83mBC,TC5_LR_2-13mBC,TC_DataRoom,TC_Bed1DoorIN,TC_Bed1DoorOUT,TC_DoorknobIN,TC_DoorknobOUT,O2_CB_1-0mAF,CO2_CB_1-0mAF,CO_CB_1-0mAF,DP_FRW_1-2mBC,DP_OBW_1-2mBC,DP_CBW_1-2mBC,,
30,10.374793,9.560306,9.491404,9.134825,9.298705,8.876464,9.149413,8.808443,27.465832,15.333194,13.53731,13.195055,12.652382,12.591989,11.941612,7.69542,12.822964,11.368965,11.675485,11.553802,11.629943,5.920458,5.705358,10.627651,21.12835,13.91318,13.6507,13.334903,13.158049,12.516236,12.232459,11.55871,69.607185,57.915516,46.782835,19.530386,16.172721,15.68159,15.443133,13.244628,8.89386,11.189134,14.756887,7.848471,9.806077,20.95064317,-0.0014832,-0.004188941,0.339782232,0.258924851,0.676243638,,
31,10.292379,9.516105,9.447199,9.090609,9.216252,8.832241,9.181682,8.840711,26.66782,15.479667,13.493206,13.189095,12.570109,12.547842,12.012031,7.765954,12.740682,11.477577,11.669521,11.509639,11.662185,5.837888,5.622777,10.621683,21.008599,13.869105,13.606586,13.367089,13.190254,12.510274,12.264681,11.590926,70.913906,58.711383,47.50987,20.0096,16.462883,15.895744,15.657269,13.344674,9.30004,11.174694,14.894966,7.948803,9.868095,20.95382757,0.0007146,-0.001753445,0.400489432,0.137510451,0.509149558,,
32,10.201581,9.578216,9.471082,9.076252,9.240138,8.89438,9.205568,8.864601,28.011241,15.922539,13.555181,13.251098,12.746571,12.648055,11.997692,7.675089,12.802684,11.425053,11.693377,11.495298,11.686041,5.823504,5.799893,10.683769,21.373735,13.931047,13.592259,13.352777,13.175925,12.610454,12.250345,11.576603,70.798161,59.809417,47.689301,20.497043,16.723371,16.194479,15.994045,13.338739,9.485258,11.206966,14.96527,7.904591,9.938599,20.95703292,0.0009882,-0.004311035,0.461296152,0.137510451,0.676243638,,
33,10.195613,9.572247,9.465112,9.070281,9.234167,8.926658,9.123114,8.858629,29.812774,17.287209,13.854349,13.359637,12.740611,12.642095,12.06811,7.745625,12.758564,11.457281,11.572792,11.527533,11.680078,5.855823,5.793915,10.601369,22.315735,13.886974,13.624459,13.346819,13.169966,12.528159,12.206198,11.494276,73.266849,61.806351,48.552393,22.972421,17.153749,16.510916,16.158177,13.465052,9.650074,11.218851,15.053355,7.954754,9.988716,20.95382757,0.0009882,-0.004919909,0.309428632,0.198217651,0.448442358,,
34,10.113193,9.489817,9.497375,9.17904,9.304676,8.882437,9.117142,8.890898,31.911662,18.612433,14.496581,13.353679,12.734651,12.674318,11.985767,7.816159,12.599954,11.413124,11.643243,11.44517,11.71232,5.849845,5.673036,10.633619,24.089761,13.8429,13.618502,13.417151,13.125842,12.522198,12.162049,11.488311,76.959214,62.529906,50.723027,24.36059,17.560315,16.917773,16.184398,13.605761,9.59995,11.092318,15.117723,7.904591,9.900374,20.95064317,0.0012636,-0.002971193,0.658743832,0.729654451,0.554729718,,
35,10.195613,9.534017,9.465112,9.185011,9.195926,8.888409,9.199597,8.858629,32.930821,19.416383,14.998015,13.397801,12.740611,12.71846,11.953538,7.783879,12.644078,11.457281,11.649207,11.451134,11.641871,5.855823,5.679014,10.639586,25.948277,13.772616,13.548146,13.384964,13.131801,12.566326,12.206198,11.417909,79.893234,63.044288,52.975856,24.738649,17.940565,17.260248,16.032117,13.758325,9.638179,11.168751,15.232053,7.942851,10.015048,20.95064317,0.0012636,-0.003214583,0.506876312,0.258924851,0.630663478,,
36,10.227869,9.489817,9.497375,9.102553,9.151713,8.844186,9.155384,8.814416,34.16213,20.359787,15.639745,13.391843,12.772803,12.674318,11.909383,7.816159,12.599954,11.451316,11.68145,11.48337,11.674114,5.888141,5.673036,10.671835,25.753482,13.80478,13.694811,13.417151,13.049507,12.598533,12.276607,11.450128,82.42458,68.807583,54.267063,25.607686,18.206672,17.64067,15.955971,13.796464,9.79109,11.092318,15.346373,8.019371,10.053271,20.95064317,0.0009882,-0.001023275,0.294202072,0.182991091,0.737050358,,
37,10.151419,9.451586,9.420908,9.064309,9.228196,8.882437,9.155384,8.852657,36.594811,21.232502,16.134827,13.54449,12.849105,12.674318,11.947575,7.73965,12.638118,11.413124,11.528619,11.559767,11.5977,5.888141,5.673036,10.633619,27.490085,13.919136,13.618502,13.417151,13.202173,12.560366,12.238421,11.373759,84.155143,72.187505,55.341932,26.859213,18.554641,17.912814,15.923821,13.878672,10.179265,11.098261,15.504712,7.987063,10.020994,20.95064317,0.0009882,0.001047535,0.446069592,0.653720691,1.223006518,,
38,10.113193,9.528047,9.420908,9.026064,9.266436,8.882437,9.193626,8.852657,36.108712,22.256152,16.058672,13.54449,12.887255,12.827042,11.947575,7.777905,12.523623,11.336737,11.605036,11.521569,11.635907,5.849845,5.673036,10.633619,30.127307,13.80478,13.580346,13.455294,13.125842,12.560366,12.200235,11.450128,84.37538,79.484221,56.484111,28.329472,18.668638,18.217006,15.961896,13.954942,10.064604,11.098261,15.695204,7.987063,10.135661,20.95382757,0.0009882,-0.002849897,0.597937112,0.972582771,1.147072758,,
39,10.086903,9.501757,9.509315,9.114496,9.316618,8.93263,9.167327,8.902841,36.606487,23.139246,16.413227,13.632721,12.937323,12.762602,11.997692,7.789853,12.611875,11.463245,11.693377,11.533497,11.647835,5.900096,5.684992,10.645553,29.687431,13.816692,13.592259,13.429066,13.099592,12.610454,12.28853,11.385689,88.740108,80.138648,56.846681,27.72067,18.662725,18.591228,16.032117,13.987143,9.94399,11.130535,15.841653,8.019371,10.129715,20.96021732,0.0012636,-0.003093287,0.582810072,1.291544371,1.207779958,,
